% Model,FEA_voltage_excit.mph
% Version,COMSOL 6.0.0.318
% Date,"Jun 27 2022, 08:51"
% Dimension,3
% Nodes,1
% Expressions,640
% Description,"Time, Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component"
% Length unit,m
