% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 21:01
% Dimension:          2
% Nodes:              500
% Expressions:        2
% Description:        Magnetic flux density, r component, Magnetic flux density, z component
% Length unit:        m
% r                       z                        mf.Br (T) @ freq=500                              mf.Bz (T) @ freq=500
0.006                     0.0025                   -0.007766482724808444+0.0024242387998085523i      5.957694551491782E-4-3.3514330729654193E-4i
0.00604809619238477       0.0025                   -0.007526702132933272+0.0023461024281031025i      3.8013375745136416E-4-2.6388937274630583E-4i
0.006096192384769539      0.0025                   -0.007286921541058082+0.002267966056397659i       1.649043035597741E-4-1.9276637568783677E-4i
0.006144288577154309      0.0025                   -0.007047140949182934+0.0021898296846922065i      -4.992844649754583E-5-1.2177124126809915E-4i
0.006192384769539079      0.0025                   -0.0067457580375707565+0.0020916836593498564i     -3.7126178978267796E-4-1.6178882839800986E-5i
0.0062404809619238475     0.0025                   -0.0064668644463588415+0.002000913228285342i      -3.735045483005449E-4-1.4414688060194027E-5i
0.006288577154308617      0.0025                   -0.0061879708551469265+0.001910142797220831i      -3.7375731592100524E-4-1.329731143503857E-5i
0.006336673346693387      0.0025                   -0.005909077263935025+0.0018193723661563237i      -3.720654055297352E-4-1.2812024657209934E-5i
0.0063847695390781565     0.0025                   -0.005630183672723117+0.0017286019350918093i      -3.68472764652422E-4-1.2944543210396996E-5i
0.006432865731462926      0.0025                   -0.005351290081511195+0.0016378315040273018i      -3.6302202649627583E-4-1.3681009778739213E-5i
0.006480961923847696      0.0025                   -0.005072396490299301+0.0015470610729627979i      -3.5575455871865707E-4-1.5007978395320531E-5i
0.006529058116232465      0.0025                   -0.0047935028990874+0.00145629064189828i          -3.4671051004047434E-4-1.6912399291110812E-5i
0.006577154308617234      0.0025                   -0.004908770784499153+0.001493753412655596i       -6.913125725673671E-4+9.626044769176618E-5i
0.006625250501002004      0.0025                   -0.0047439280206153026+0.001440117123110169i      -7.889824812707591E-4+1.2914249422057034E-4i
0.0066733466933867735     0.0025                   -0.004579085256731464+0.0013864808335647691i      -8.857195058011701E-4+1.6172201722174442E-4i
0.006721442885771543      0.0025                   -0.004414242492847623+0.0013328445440193484i      -9.81543672294618E-4+1.9400551093916524E-4i
0.006769539078156313      0.0025                   -0.004249399728963767+0.0012792082544739259i      -0.0010764744377608241+2.2599928505562597E-4i
0.006817635270541082      0.0025                   -0.0040845569650799565+0.0012255719649285138i     -0.0011705307101579718+2.577094712028537E-4i
0.006865731462925852      0.0025                   -0.0039749217182185916+0.001189971330086922i      -0.0010498673671504788+2.1938186738516352E-4i
0.006913827655310622      0.0025                   -0.003849238571077499+0.0011491388580846915i      -0.001076307534347459+2.2901962203532517E-4i
0.006961923847695391      0.0025                   -0.0037235554239364054+0.001108306386082455i      -0.0011015065144370194+2.3825393841906501E-4i
0.00701002004008016       0.0025                   -0.003597872276795283+0.001067473914080205i       -0.0011254898550096476+2.470931205830482E-4i
0.00705811623246493       0.0025                   -0.003472189129654156+0.0010266414420779628i      -0.001148282407299115+2.5554524622849726E-4i
0.0071062124248496995     0.0025                   -0.003346505982513053+9.85808970075724E-4i        -0.0011699083497477055+2.6361817437104253E-4i
0.007154308617234469      0.0025                   -0.0032208228353719504+9.44976498073475E-4i       -0.0011903912106211306+2.7131955269140036E-4i
0.007202404809619239      0.0025                   -0.003095139688230837+9.041440260712432E-4i       -0.0012097538897171923+2.786568245916896E-4i
0.007250501002004008      0.0025                   -0.002969456541089689+8.633115540689837E-4i       -0.0012280186792105966+2.856372359708282E-4i
0.007298597194388778      0.0025                   -0.0029461297274624015+8.559617030259002E-4i      -0.0011970542965172794+2.765171979089542E-4i
0.007346693386773547      0.0025                   -0.002824575485391112+8.164563947431445E-4i       -0.0011969638246167578+2.7751331826043955E-4i
0.007394789579158317      0.0025                   -0.0027030212433197948+7.769510864603715E-4i      -0.0011957405157657919+2.7814111499920133E-4i
0.007442885771543086      0.0025                   -0.0025814670012485053+7.374457781776297E-4i      -0.001193406331262257+2.78407728486043E-4i
0.007490981963927856      0.0025                   -0.00241711398291204+6.840143325612417E-4i        -0.0013054507468211992+3.1589183513790805E-4i
0.0075390781563126254     0.0025                   -0.002325657020041838+6.543334917945847E-4i       -0.001265796417880803+3.03918759497785E-4i
0.007587174348697395      0.0025                   -0.0022342000571716324+6.246526510279337E-4i      -0.0012248590491579937+2.915278573712393E-4i
0.007635270541082165      0.0025                   -0.0021738702669456527+6.053451547946721E-4i      -0.0012364553816616468+2.9658356796797235E-4i
0.0076833667334669335     0.0025                   -0.002111437050886218+5.85173233814427E-4i        -0.0012431542415692774+2.997125091902444E-4i
0.007731462925851704      0.0025                   -0.0020490038348267483+5.650013128341829E-4i      -0.0012489437086495264+3.025453071459137E-4i
0.007779559118236473      0.0025                   -0.0019865706187673204+5.448293918539341E-4i      -0.0012538406495390918+3.050874544457886E-4i
0.007827655310621243      0.0025                   -0.0019241374027078578+5.246574708736973E-4i      -0.0012578615163336268+3.073443087056472E-4i
0.007875751503006012      0.0025                   -0.0018617041866484233+5.044855498934485E-4i      -0.0012610223592455796+3.0932109666820706E-4i
0.007923847695390781      0.0025                   -0.0017992709705889958+4.843136289132137E-4i      -0.0012633388388008696+3.1102291817499935E-4i
