% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 21:01
% Dimension:          2
% Nodes:              500
% Expressions:        2
% Description:        Magnetic flux density, r component, Magnetic flux density, z component
% Length unit:        m
% r                       z                        mf.Br (T) @ freq=500                              mf.Bz (T) @ freq=500
0.006                     0.0025                   -0.00947243779761484+0.002871372121452196i        -6.010991966671261E-4+1.8221069511502926E-4i
0.00604809619238477       0.0025                   -0.009224913480274974+0.00279634028282982i        -7.959062312407287E-4+2.4126238804651843E-4i
0.006096192384769539      0.0025                   -0.008977389162935136+0.0027213084442074473i      -9.902952894554938E-4+3.001873801550699E-4i
0.006144288577154309      0.0025                   -0.008729864845595296+0.002646276605585078i       -0.0011842761868032228+3.5898864680247527E-4i
0.006192384769539079      0.0025                   -0.008419128516891985+0.0025520833629980623i      -0.0014884173556271975+4.5118270410914E-4i
0.0062404809619238475     0.0025                   -0.008130604775483621+0.002464623403359619i       -0.001471189634700886+4.459604795201996E-4i
0.006288577154308617      0.0025                   -0.00784208103407525+0.0023771634437211725i       -0.0014519712081306714+4.4013481399977883E-4i
0.006336673346693387      0.0025                   -0.007553557292666879+0.0022897034840827293i      -0.001430807405077359+4.3371944813836057E-4i
0.0063847695390781565     0.0025                   -0.007265033551258501+0.0022022435244442827i      -0.001407742188851254+4.2672770849732354E-4i
0.006432865731462926      0.0025                   -0.006976509809850137+0.0021147835648058343i      -0.0013828182079722107+4.19172523086684E-4i
0.006480961923847696      0.0025                   -0.006687986068441773+0.0020273236051673964i      -0.001356076844955611+4.11066436153617E-4i
0.006529058116232465      0.0025                   -0.006399462327033402+0.0019398636455289463i      -0.0013275582629426177+4.0242162231740684E-4i
0.006577154308617234      0.0025                   -0.006507326620098414+0.0019725604581789097i      -0.0016546135045206701+5.015616032712487E-4i
0.006625250501002004      0.0025                   -0.006332406083649694+0.0019195369427376313i      -0.0017323193804377151+5.25116520236491E-4i
0.0066733466933867735     0.0025                   -0.006157485547201009+0.0018665134272963786i      -0.0018090879952650904+5.483873260340598E-4i
0.006721442885771543      0.0025                   -0.005982565010752318+0.0018134899118551196i      -0.0018849394690977446+5.713801196514507E-4i
0.006769539078156313      0.0025                   -0.005807644474303588+0.001760466396413847i       -0.0019598933502339793+5.941008267479296E-4i
0.006817635270541082      0.0025                   -0.005632723937854928+0.0017074428809725891i      -0.0020339686353445328+6.16555205768345E-4i
0.006865731462925852      0.0025                   -0.005512507814900142+0.0016710018684923224i      -0.0018947399593015556+5.743509340235392E-4i
0.006913827655310622      0.0025                   -0.005376064861127091+0.0016296420304017256i      -0.0019041526065788563+5.77204181894749E-4i
0.006961923847695391      0.0025                   -0.005239621907354015+0.0015882821923111352i      -0.001912340257440485+5.796860976303338E-4i
0.00701002004008016       0.0025                   -0.005103178953580935+0.0015469223542205364i      -0.0019193281262208741+5.818043244303463E-4i
0.00705811623246493       0.0025                   -0.004966735999807867+0.0015055625161299346i      -0.0019251407399812938+5.835662971622941E-4i
0.0071062124248496995     0.0025                   -0.0048302930460348+0.0014642026780393386i        -0.00192980196176785+5.849792494113119E-4i
0.007154308617234469      0.0025                   -0.0046938500922617185+0.0014228428399487352i     -0.0019333350129312715+5.860502202459598E-4i
0.007202404809619239      0.0025                   -0.004557407138488619+0.001381483001858138i       -0.0019357624945524777+5.867860607129464E-4i
0.007250501002004008      0.0025                   -0.004420964184715541+0.0013401231637675346i      -0.001937106408015424+5.871934400733141E-4i
0.007298597194388778      0.0025                   -0.0043872093124874625+0.0013298910776721098i     -0.001889090190554271+5.726383243637947E-4i
0.007346693386773547      0.0025                   -0.004256449103477888+0.0012902538452333901i      -0.0018714250519884087+5.672835057327966E-4i
0.007394789579158317      0.0025                   -0.0041256888944682865+0.0012506166127946618i     -0.0018526361992510236+5.615880565678797E-4i
0.007442885771543086      0.0025                   -0.0039949286854587054+0.0012109793803559438i     -0.0018327454167848503+5.555585803688746E-4i
0.007490981963927856      0.0025                   -0.0038179401594780563+0.0011573289969830669i     -0.0019364941485006176+5.87007846360319E-4i
0.0075390781563126254     0.0025                   -0.003717652087471747+0.0011269287578655673i      -0.0018816051586031048+5.703693929089772E-4i
0.007587174348697395      0.0025                   -0.0036173640154654324+0.0010965285187480717i     -0.0018254549216173452+5.533486186860539E-4i
0.007635270541082165      0.0025                   -0.0035392174903935945+0.0010728400281742757i     -0.0018088457334735427+5.483138894204742E-4i
0.0076833667334669335     0.0025                   -0.0034669494402516177+0.0010509334747734577i     -0.0018021084879617931+5.462716338415861E-4i
0.007731462925851704      0.0025                   -0.003394681390109604+0.0010290269213726296i      -0.0017944946219349508+5.439636490215171E-4i
0.007779559118236473      0.0025                   -0.0033224133399676345+0.0010071203679718082i     -0.0017860203941970224+5.413948634778818E-4i
0.007827655310621243      0.0025                   -0.003250145289825628+9.852138145709872E-4i       -0.001776701663950052+5.385700845972805E-4i
