% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 08:26
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500, Switch 1=Stainless Steel
0                         -0.006                   0.0018618789975914643-0.0339708740407072i
3.0303030303030303E-4     -0.006                   -23.312917872663117-8.7894285094056i
6.060606060606061E-4      -0.006                   -46.447734933190176-17.512023913349356i
9.090909090909091E-4      -0.006                   -69.40258930258516-26.201757085872263i
0.0012121212121212121     -0.006                   -92.13001945338729-34.81370044440336i
0.0015151515151515152     -0.006                   -114.39681209144649-43.30557273688947i
0.0018181818181818182     -0.006                   -136.17736654780478-51.68463673162625i
0.002121212121212121      -0.006                   -157.4584644739436-59.91971791981195i
0.0024242424242424242     -0.006                   -178.0544676581304-67.95761419944212i
0.0027272727272727275     -0.006                   -197.90847689279636-75.8289666847464i
0.0030303030303030303     -0.006                   -217.0202208580166-83.52493867879238i
0.003333333333333333      -0.006                   -235.28696792462898-90.9568232496406i
0.0036363636363636364     -0.006                   -252.6288827331449-98.1894124689418i
0.00393939393939394       -0.006                   -269.0459652835623-105.22270633669567i
0.004242424242424242      -0.006                   -284.50805156791904-111.97642893384128i
0.004545454545454545      -0.006                   -298.956161294008-118.51272820623778i
0.0048484848484848485     -0.006                   -312.3887684307042-124.85188880104869i
0.005151515151515152      -0.006                   -324.8018255277629-130.94265591503637i
0.005454545454545455      -0.006                   -336.19448797462064-136.80979207647218i
0.005757575757575757      -0.006                   -346.5705216846484-142.5128062646811i
0.006060606060606061      -0.006                   -355.9299008655836-148.0298316868274i
0.006363636363636364      -0.006                   -364.31666437830626-153.3284238979999i
0.006666666666666666      -0.006                   -371.76032621693736-158.5181540252675i
0.0069696969696969695     -0.006                   -378.26088638148224-163.5990220686313i
0.007272727272727273      -0.006                   -383.86711146363217-168.49725880757555i
0.007575757575757576      -0.006                   -388.65547151343185-173.34012663013237i
0.00787878787878788       -0.006                   -392.62685423815464-178.13906894518004i
0.008181818181818182      -0.006                   -395.80996238855045-182.84335139744113i
0.008484848484848484      -0.006                   -398.31721377433166-187.5201727231861i
0.008787878787878787      -0.006                   -400.1599695766391-192.21592764705977i
0.00909090909090909       -0.006                   -401.3468975890351-196.9045866209089i
0.009393939393939394      -0.006                   -401.9907260289462-201.58552125575147i
0.009696969696969697      -0.006                   -402.1257068228186-206.33781668137186i
0.01                      -0.006                   -401.75183997066273-211.16147289776978i
0.010303030303030303      -0.006                   -400.94751330954466-215.98952381896763i
0.010606060606060607      -0.006                   -399.776660312892-220.92725708573795i
0.01090909090909091       -0.006                   -398.2392809806985-225.9746726980817i
0.011212121212121211      -0.006                   -396.3698360582185-231.08310676220202i
0.011515151515151515      -0.006                   -394.2506239930713-236.30142953808505i
0.011818181818181818      -0.006                   -391.88487418304015-241.65421386033393i
0.012121212121212121      -0.006                   -389.28258583100626-247.11425240523957i
0.012424242424242424      -0.006                   -386.51517642747444-252.6779571744148i
0.012727272727272728      -0.006                   -383.5961119777209-258.39043158062384i
0.013030303030303031      -0.006                   -380.5261613919651-264.2452994298263i
0.013333333333333332      -0.006                   -377.3506025203289-270.1957978282691i
0.013636363636363636      -0.006                   -374.09452781778236-276.30278706113944i
0.013939393939393939      -0.006                   -370.75793728431387-282.5662671284382i
0.014242424242424242      -0.006                   -367.35874511526947-288.9413806707504i
0.014545454545454545      -0.006                   -363.9293292418408-295.46604983799955i
0.014848484848484849      -0.006                   -360.47030151271446-302.1519644289686i
0.015151515151515152      -0.006                   -356.986030294807-308.9735227268594i
0.015454545454545455      -0.006                   -353.50265825390255-315.93424291305985i
0.01575757575757576       -0.006                   -350.024531245023-323.06089943149584i
0.01606060606060606       -0.006                   -346.5517561623953-330.34415256730404i
0.016363636363636365      -0.006                   -343.0983281247658-337.760065004252i
0.016666666666666666      -0.006                   -339.6729358459252-345.34871682070144i
