% Model:              FEA_current_excitation.mph
% Version:            COMSOL 6.0.0.318
% Date:               Sep 29 2022, 14:26
% Table:              Table 1 - Point Evaluation 1
% Switch 1 index         Time (s)                 Magnetic flux density, z component (T), Point: 5
1                        0                        0
1                        2.0202020202020203E-5    3.205326720249655E-4
1                        4.0404040404040405E-5    6.5426075621932E-4
1                        6.060606060606061E-5     9.90369529448368E-4
1                        8.080808080808081E-5     0.0013236401185195436
1                        1.0101010101010101E-4    0.0016523475851883199
1                        1.2121212121212122E-4    0.001975841584083182
1                        1.414141414141414E-4     0.0022912307620812974
1                        1.6161616161616162E-4    0.002597488404380009
1                        1.8181818181818183E-4    0.002893301968278289
1                        2.0202020202020202E-4    0.0031776426360953106
1                        2.2222222222222223E-4    0.0034491728405047894
1                        2.4242424242424245E-4    0.003707099834885657
1                        2.6262626262626266E-4    0.003950055637286777
1                        2.828282828282828E-4     0.004177133051103338
1                        3.0303030303030303E-4    0.004387402738743165
1                        3.2323232323232324E-4    0.004580011928646351
1                        3.4343434343434346E-4    0.004754186974998657
1                        3.6363636363636367E-4    0.004909223693989551
1                        3.8383838383838383E-4    0.0050444959808266
1                        4.0404040404040404E-4    0.005159457663857232
1                        4.2424242424242425E-4    0.005253645515468336
1                        4.4444444444444447E-4    0.0053266797847954525
1                        4.646464646464647E-4     0.0053782657997710065
1                        4.848484848484849E-4     0.00540819577202144
1                        5.05050505050505E-4      0.005416349497582563
1                        5.252525252525253E-4     0.005402693410275268
1                        5.454545454545455E-4     0.0053672822672509056
1                        5.656565656565656E-4     0.005310259881426612
1                        5.858585858585859E-4     0.005231854984256559
1                        6.060606060606061E-4     0.005132381864140841
1                        6.262626262626263E-4     0.005012243802849984
1                        6.464646464646465E-4     0.004871924554256177
1                        6.666666666666666E-4     0.004711984280571903
1                        6.868686868686869E-4     0.004533071267435965
1                        7.070707070707071E-4     0.0043359107184378475
1                        7.272727272727273E-4     0.004121284797905848
1                        7.474747474747475E-4     0.0038900595766867374
1                        7.676767676767677E-4     0.0036431852149763676
1                        7.878787878787879E-4     0.0033816357754818463
1                        8.080808080808081E-4     0.0031064482025617707
1                        8.282828282828283E-4     0.0028187754426223857
1                        8.484848484848485E-4     0.002519762495913969
1                        8.686868686868687E-4     0.0022105766174723026
1                        8.888888888888889E-4     0.0018924973717554879
1                        9.090909090909091E-4     0.0015668136957253049
1                        9.292929292929294E-4     0.0012348030190535483
1                        9.494949494949495E-4     8.978238807761116E-4
1                        9.696969696969698E-4     5.572338820828241E-4
1                        9.8989898989899E-4       2.143970875475241E-4
1                        0.00101010101010101      -1.2930249606990908E-4
1                        0.0010303030303030303    -4.7248152006214696E-4
1                        0.0010505050505050506    -8.137577746585663E-4
1                        0.0010707070707070708    -0.001151757337178289
1                        0.001090909090909091     -0.0014851194442404376
1                        0.0011111111111111111    -0.001812501262909856
1                        0.0011313131313131313    -0.0021325846779762982
1                        0.0011515151515151516    -0.0024440811499285625
1                        0.0011717171717171718    -0.002745736233944697
1                        0.001191919191919192     -0.0030363349515928903
1                        0.0012121212121212121    -0.0033147074188433698
1                        0.0012323232323232323    -0.0035797330514549955
1                        0.0012525252525252527    -0.003830343983765464
