% Model:              FEA_current_excit.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 10:39
% Table:              Table 1 - Point Evaluation 1
% Switch 1 index         Time (s)                 Magnetic flux density, z component (T), Point: 5
1                        4.595959595959596E-4     -0.002757319171063756
1                        4.646464646464647E-4     -0.0024633205217987394
1                        4.696969696969697E-4     -0.0021593980784843226
1                        4.7474747474747476E-4    -0.0018467786533334861
1                        4.797979797979798E-4     -0.0015267199542753204
1                        4.848484848484849E-4     -0.0012005122863231444
1                        4.898989898989899E-4     -8.694687182748432E-4
1                        4.94949494949495E-4      -5.349228123099213E-4
1                        5.0E-4                   -1.9822218116611598E-4
2                        0                        0
2                        5.050505050505051E-6     2.756531348651603E-4
2                        1.0101010101010101E-5    5.618854349187009E-4
2                        1.5151515151515153E-5    8.526618530344343E-4
2                        2.0202020202020203E-5    0.001143789302805318
2                        2.5252525252525253E-5    0.0014335203956464984
2                        3.0303030303030306E-5    0.001719523369700368
2                        3.535353535353535E-5     0.002001054893175391
2                        4.0404040404040405E-5    0.002276508512618348
2                        4.545454545454546E-5     0.0025448551558302154
2                        5.0505050505050505E-5    0.0028046401180325353
2                        5.555555555555556E-5     0.003054905867029529
2                        6.060606060606061E-5     0.00329417526161397
2                        6.565656565656566E-5     0.003521432219060988
2                        7.07070707070707E-5      0.0037356452360363373
2                        7.575757575757576E-5     0.003935858682573867
2                        8.080808080808081E-5     0.004121190252980938
2                        8.585858585858586E-5     0.004290823578264262
2                        9.090909090909092E-5     0.004444012273394342
2                        9.595959595959596E-5     0.004580083235470783
2                        1.0101010101010101E-4    0.004698438299700734
2                        1.0606060606060606E-4    0.004798555498439356
2                        1.1111111111111112E-4    0.0048799906747907925
2                        1.1616161616161617E-4    0.004942379141396107
2                        1.2121212121212122E-4    0.0049854364377466456
2                        1.2626262626262626E-4    0.005008958121107774
2                        1.3131313131313133E-4    0.005012821225360513
2                        1.3636363636363637E-4    0.004996985523356108
2                        1.414141414141414E-4     0.00496149057738921
2                        1.4646464646464648E-4    0.004906456250880551
2                        1.5151515151515152E-4    0.0048320861258892775
2                        1.5656565656565658E-4    0.004738661467951831
2                        1.6161616161616162E-4    0.0046265369398198735
2                        1.6666666666666666E-4    0.0044961507726249544
2                        1.7171717171717173E-4    0.004348017942900203
2                        1.7676767676767677E-4    0.004182711476636453
2                        1.8181818181818183E-4    0.0040008832463596065
2                        1.8686868686868687E-4    0.003803270486861788
