% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 20 2022, 07:10"
% Dimension,2
% Nodes,1
% Expressions,1500
% Description,"Time, Magnetic flux density, r component, Magnetic flux density, z component"
% Length unit,m
