% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 12 2022, 20:12"
% Dimension,3
% Nodes,100
% Expressions,3
% Description,"Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component"
% Length unit,m
% x,y,z,mf.Bx (T) @ freq=20000,mf.By (T) @ freq=20000,mf.Bz (T) @ freq=20000
-0.023939393939393937,0,0.0015,1.6861350011680048E-4+8.026036683841421E-5i,5.953254954262836E-7+2.5779633092972657E-7i,-1.9523007330089672E-4+5.422134415597966E-6i
-0.02333333333333333,0,0.0015,1.9785320863188413E-4+9.060153227363971E-5i,-1.413117412318632E-6-5.775894880105203E-7i,-2.2110694483182605E-4+1.1052918390220753E-6i
-0.022727272727272728,0,0.0015,2.218481300968395E-4+9.968967670905405E-5i,7.33383365889267E-7-5.174019303637832E-7i,-2.524765972243947E-4-5.848556349484361E-6i
-0.022121212121212118,0,0.0015,2.47664001121983E-4+1.1016534090133043E-4i,1.0670534633280034E-5+7.262404868871785E-7i,-2.719261205540285E-4-1.1345625762725117E-5i
-0.021515151515151515,0,0.0015,3.0530949612346384E-4+1.2145008776036771E-4i,3.0659629031297474E-6+1.006681214635926E-8i,-3.304133993935676E-4-2.1502043480616743E-5i
-0.02090909090909091,0,0.0015,3.629549911249449E-4+1.3273483461942015E-4i,-4.538608827020377E-6-7.061068626062778E-7i,-3.8890067823310875E-4-3.16584611985062E-5i
-0.020303030303030302,0,0.0015,4.3177439775683203E-4+1.4372141738055967E-4i,-4.941448930806326E-6-3.874990783785809E-7i,-4.462316948062049E-4-4.4474476589518794E-5i
-0.019696969696969695,0,0.0015,5.449696880942829E-4+1.5481271841990413E-4i,-5.094220850423645E-7+7.513656492437459E-7i,-4.950801617403509E-4-6.232284868611798E-5i
-0.01909090909090909,0,0.0015,6.850750244365724E-4+1.6883961606820735E-4i,9.24001188964442E-6+9.097304729810407E-7i,-5.707940170632687E-4-7.922751811265116E-5i
-0.018484848484848486,0,0.0015,8.747775688856064E-4+1.805598420061838E-4i,-2.3134685684729657E-5-4.3281859171684367E-7i,-6.884602350533467E-4-9.972322359291796E-5i
-0.017878787878787876,0,0.0015,0.0011524351781307875+1.9207656222530733E-4i,1.0297656556731549E-5-1.6339701664272455E-6i,-7.452735289864574E-4-1.2762691687477623E-4i
-0.017272727272727273,0,0.0015,0.0016020390000588767+2.0008464525300002E-4i,5.4076224976687143E-5-6.26637929886098E-7i,-7.351460072538198E-4-1.5797802791811533E-4i
-0.016666666666666666,0,0.0015,0.0022858304116876245+2.0468972758852857E-4i,-3.35953687712583E-5+4.911615290037474E-7i,-8.791395741137341E-4-1.86754081677315E-4i
