% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 12 2022, 20:07"
% Dimension,2
% Nodes,100
% Expressions,2
% Description,"Magnetic flux density, r component, Magnetic flux density, z component"
% Length unit,m
% r,z,mf.Br (T) @ freq=20000,mf.Bz (T) @ freq=20000
0.006,0.0025,-0.0034189480890305986-1.4172583907399777E-4i,-4.201144455929435E-4-1.475015411746532E-4i
0.006242424242424243,0.0025,-0.002951237407923024-1.4206000277059436E-4i,-7.272500506496989E-4-1.3837683464301E-4i
0.006484848484848485,0.0025,-0.0024507230866287685-1.4188094930432378E-4i,-6.765306878574176E-4-1.3022270937261288E-4i
0.006727272727272728,0.0025,-0.0022045282682068472-1.411428467889218E-4i,-8.449477530682945E-4-1.213653194862727E-4i
0.0069696969696969695,0.0025,-0.0019435687933676824-1.400100014149336E-4i,-8.524920463714126E-4-1.1306942502972895E-4i
0.007212121212121212,0.0025,-0.0017097210802725221-1.3859983151191335E-4i,-8.540376944887186E-4-1.04991851565028E-4i
0.007454545454545455,0.0025,-0.0015196926372829534-1.3692357659571275E-4i,-8.124622802728209E-4-9.715396302997781E-5i
0.007696969696969697,0.0025,-0.0013298112606406117-1.3487197691870127E-4i,-7.956883806537029E-4-8.91492420092905E-5i
0.007939393939393939,0.0025,-0.001207890540531268-1.327108973291225E-4i,-7.715810813084473E-4-8.208546295456116E-5i
0.008181818181818182,0.0025,-0.001085969820421923-1.3054981773954382E-4i,-7.404042977355617E-4-7.50573618163281E-5i
0.008424242424242424,0.0025,-9.681403020325567E-4-1.27319983420962E-4i,-7.052963781903218E-4-6.775529301483828E-5i
0.008666666666666666,0.0025,-8.633481941425212E-4-1.2565710721687816E-4i,-6.751288613982192E-4-6.139943473723625E-5i
0.008909090909090908,0.0025,-7.924011904146201E-4-1.2247712853767292E-4i,-6.403959716713292E-4-5.533979227681511E-5i
0.009151515151515152,0.0025,-7.214541866867202E-4-1.1929714985846785E-4i,-6.009900032486282E-4-4.9327089563833574E-5i
0.009393939393939394,0.0025,-6.520197313870371E-4-1.1647058134862183E-4i,-5.605572342247407E-4-4.42118138813148E-5i
0.009636363636363637,0.0025,-5.985423709978562E-4-1.1263953739088992E-4i,-5.482843009562719E-4-3.8763431423608936E-5i
0.00987878787878788,0.0025,-5.556285525900753E-4-1.0950715902078041E-4i,-5.158441675270886E-4-3.335906351480201E-5i
0.010121212121212121,0.0025,-5.131519066191555E-4-1.0616160795415988E-4i,-4.799078571984302E-4-2.859505043854762E-5i
0.010363636363636363,0.0025,-4.7529307067515573E-4-1.0283064200822625E-4i,-4.5368286879990876E-4-2.4403784637049476E-5i
0.010606060606060605,0.0025,-4.4095286491532045E-4-9.89371508353363E-5i,-4.3842011463150017E-4-2.0179671304510838E-5i
0.010848484848484849,0.0025,-4.152942371125683E-4-9.553637045116878E-5i,-4.108559680230531E-4-1.6007410136150754E-5i
