% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 28 2022, 16:30
% Dimension:          3
% Nodes:              400
% Expressions:        1
% Description:        Current density norm
% Length unit:        m
% x                       y                        z                        mf.normJ (A/m^2) @ freq=500, Material Switch 1=Stainless Steel
-0.018000000000000002     -0.018000000000000002    -5.0E-4                  93.41311907545669
-0.01610526315789474      -0.018000000000000002    -5.0E-4                  167.13562675067288
-0.014210526315789476     -0.018000000000000002    -5.0E-4                  679.9308517480947
-0.012315789473684212     -0.018000000000000002    -5.0E-4                  1345.9167549458678
-0.010421052631578949     -0.018000000000000002    -5.0E-4                  2115.7621398034735
-0.008526315789473686     -0.018000000000000002    -5.0E-4                  2950.2967191504335
-0.006631578947368422     -0.018000000000000002    -5.0E-4                  3779.7792679256236
-0.004736842105263159     -0.018000000000000002    -5.0E-4                  4530.017108579997
-0.002842105263157896     -0.018000000000000002    -5.0E-4                  5093.024301945044
-9.473684210526342E-4     -0.018000000000000002    -5.0E-4                  5395.793343105655
9.473684210526308E-4      -0.018000000000000002    -5.0E-4                  0.0037622868025955327
0.002842105263157896      -0.018000000000000002    -5.0E-4                  5093.704096865438
0.004736842105263157      -0.018000000000000002    -5.0E-4                  0.003968354305743846
0.006631578947368419      -0.018000000000000002    -5.0E-4                  3784.2033056919295
0.008526315789473684      -0.018000000000000002    -5.0E-4                  2948.7282764811584
0.010421052631578949      -0.018000000000000002    -5.0E-4                  0.0035565492223236734
0.01231578947368421       -0.018000000000000002    -5.0E-4                  1343.5468523245104
0.014210526315789472      -0.018000000000000002    -5.0E-4                  679.7990901654475
0.016105263157894734      -0.018000000000000002    -5.0E-4                  166.3919716583756
0.018000000000000002      -0.018000000000000002    -5.0E-4                  81.806897138401
-0.018000000000000002     -0.01610526315789474     -5.0E-4                  166.37301949693472
-0.01610526315789474      -0.01610526315789474     -5.0E-4                  640.7993845881088
-0.014210526315789476     -0.01610526315789474     -5.0E-4                  1234.872835061283
-0.012315789473684212     -0.01610526315789474     -5.0E-4                  1965.8508903218524
-0.010421052631578949     -0.01610526315789474     -5.0E-4                  2814.0030307041516
-0.008526315789473686     -0.01610526315789474     -5.0E-4                  3721.229398140045
-0.006631578947368422     -0.01610526315789474     -5.0E-4                  4627.955257423627
-0.004736842105263159     -0.01610526315789474     -5.0E-4                  5442.909589834898
-0.002842105263157896     -0.01610526315789474     -5.0E-4                  6070.503446156805
-9.473684210526342E-4     -0.01610526315789474     -5.0E-4                  6400.107896221222
9.473684210526308E-4      -0.01610526315789474     -5.0E-4                  6394.627527716038
0.002842105263157896      -0.01610526315789474     -5.0E-4                  6075.852664327075
0.004736842105263157      -0.01610526315789474     -5.0E-4                  5446.8820825647435
0.006631578947368419      -0.01610526315789474     -5.0E-4                  4627.590025969245
0.008526315789473684      -0.01610526315789474     -5.0E-4                  3721.018641337843
0.010421052631578949      -0.01610526315789474     -5.0E-4                  2814.290557960234
0.01231578947368421       -0.01610526315789474     -5.0E-4                  1968.0495357795135
0.014210526315789472      -0.01610526315789474     -5.0E-4                  1233.3623098081216
0.016105263157894734      -0.01610526315789474     -5.0E-4                  641.9826624830561
0.018000000000000002      -0.01610526315789474     -5.0E-4                  0.001590974456159893
-0.018000000000000002     -0.014210526315789476    -5.0E-4                  678.4844165193905
-0.01610526315789474      -0.014210526315789476    -5.0E-4                  1234.6424020604145
-0.014210526315789476     -0.014210526315789476    -5.0E-4                  1948.3569714776552
-0.012315789473684212     -0.014210526315789476    -5.0E-4                  2794.3288644628033
-0.010421052631578949     -0.014210526315789476    -5.0E-4                  3753.4375867293797
-0.008526315789473686     -0.014210526315789476    -5.0E-4                  4809.031830688759
-0.006631578947368422     -0.014210526315789476    -5.0E-4                  5874.848276993028
-0.004736842105263159     -0.014210526315789476    -5.0E-4                  6856.122069018226
-0.002842105263157896     -0.014210526315789476    -5.0E-4                  7610.554788463136
-9.473684210526342E-4     -0.014210526315789476    -5.0E-4                  7991.902498669055
9.473684210526308E-4      -0.014210526315789476    -5.0E-4                  7991.425046804915
0.002842105263157896      -0.014210526315789476    -5.0E-4                  7616.9650775074315
0.004736842105263157      -0.014210526315789476    -5.0E-4                  6846.803995721163
0.006631578947368419      -0.014210526315789476    -5.0E-4                  5870.504079288326
0.008526315789473684      -0.014210526315789476    -5.0E-4                  4804.942585576822
0.010421052631578949      -0.014210526315789476    -5.0E-4                  3759.8707527283727
0.01231578947368421       -0.014210526315789476    -5.0E-4                  2801.1051300492477
0.014210526315789472      -0.014210526315789476    -5.0E-4                  1947.7007486043083
0.016105263157894734      -0.014210526315789476    -5.0E-4                  1236.365624891543
0.018000000000000002      -0.014210526315789476    -5.0E-4                  678.3035646156821
-0.018000000000000002     -0.012315789473684212    -5.0E-4                  1343.8077856624668
-0.01610526315789474      -0.012315789473684212    -5.0E-4                  1967.4508700585093
-0.014210526315789476     -0.012315789473684212    -5.0E-4                  2801.054710548911
-0.012315789473684212     -0.012315789473684212    -5.0E-4                  3789.9832006466536
-0.010421052631578949     -0.012315789473684212    -5.0E-4                  4949.909367378935
-0.008526315789473686     -0.012315789473684212    -5.0E-4                  6238.047102818027
-0.006631578947368422     -0.012315789473684212    -5.0E-4                  7589.359266332188
-0.004736842105263159     -0.012315789473684212    -5.0E-4                  8814.707467394455
-0.002842105263157896     -0.012315789473684212    -5.0E-4                  9803.53427713271
-9.473684210526342E-4     -0.012315789473684212    -5.0E-4                  10353.701520536404
9.473684210526308E-4      -0.012315789473684212    -5.0E-4                  10349.353076345624
