% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 10:53
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000
0.009393939393939394      -0.006                   0.003405039524064873-0.010043585363861076i
0.009696969696969697      -0.006                   0.0033901296270532747-0.009999606882770401i
0.01                      -0.006                   0.003370341763583346-0.00994124023749799i
0.010303030303030303      -0.006                   0.0033463950693935172-0.009870606606988092i
0.010606060606060607      -0.006                   0.0033189631028603915-0.009789692734101574i
0.01090909090909091       -0.006                   0.0032880458639839663-0.009698498618838433i
0.011212121212121211      -0.006                   0.003253982279462638-0.009598023967052983i
0.011515151515151515      -0.006                   0.0032175848323080652-0.00949066529696486i
0.011818181818181818      -0.006                   0.0031788858250581253-0.009376517888862243i
0.012121212121212121      -0.006                   0.003137994586399571-0.009255904221126982i
0.012424242424242424      -0.006                   0.003095628818791724-0.009130941245244661i
0.012727272727272728      -0.006                   0.0030519086883970046-0.009001983406054513i
0.013030303030303031      -0.006                   0.0030068469935836096-0.008869068453916466i
0.013333333333333332      -0.006                   0.0029609418626143917-0.008733665679371365i
0.013636363636363636      -0.006                   0.0029144018985261277-0.008596390382721116i
0.013939393939393939      -0.006                   0.002867227101318819-0.008457242563965732i
0.014242424242424242      -0.006                   0.00281965371412198-0.008316919051301894i
0.014545454545454545      -0.006                   0.0027719757700131464-0.008176287131519822i
0.014848484848484849      -0.006                   0.0027241865654793473-0.008035327031785644i
0.015151515151515152      -0.006                   0.0026763708170766507-0.007894288634029899i
0.015454545454545455      -0.006                   0.0026288013868182177-0.00775397677846457i
0.01575757575757576       -0.006                   0.002581484512152379-0.007614409863229801i
0.01606060606060606       -0.006                   0.0025344385495143463-0.007475642032897081i
0.016363636363636365      -0.006                   0.002487862967194246-0.0073382616438926645i
0.016666666666666666      -0.006                   0.00244178060544088-0.007202336066405144i
0.016969696969696968      -0.006                   0.0023961914642542494-0.007067865300434526i
0.017272727272727273      -0.006                   0.0023512077523768857-0.006935180319597083i
0.017575757575757574      -0.006                   0.002306870763524694-0.006804402924925367i
0.01787878787878788       -0.006                   0.0022631754529448948-0.006675518236299568i
0.01818181818181818       -0.006                   0.0022201655396413534-0.006548655208361953i
0.018484848484848486      -0.006                   0.0021778921698720317-0.0064239647034827225i
0.018787878787878787      -0.006                   0.002136342627449167-0.006301409213713101i
0.019090909090909092      -0.006                   0.00209553045365422-0.0061810286807483066i
0.019393939393939394      -0.006                   0.00205549641863698-0.006062943361349199i
0.019696969696969695      -0.006                   0.0020162211572859615-0.005947096135778549i
0.02                      -0.006                   0.001977704669601163-0.005833487004036353i
0.020303030303030302      -0.006                   0.001939981524409632-0.0057222179312711495i
0.020606060606060607      -0.006                   0.0019030204284722792-0.005613196614309126i
0.02090909090909091       -0.006                   0.0018668213817891097-0.005506423053150299i
0.021212121212121213      -0.006                   0.0018313992091497106-0.005401940975403287i
0.021515151515151515      -0.006                   0.0017967298889636357-0.005299679526559359i
0.02181818181818182       -0.006                   0.001762804323582201-0.005199611871984741i
0.02212121212121212       -0.006                   0.0017296292323843896-0.005101757831337507i
0.022424242424242423      -0.006                   0.0016971864524164535-0.00500606383087601i
0.022727272727272728      -0.006                   0.0016654566806199626-0.004912472933868565i
0.02303030303030303       -0.006                   0.0016344415317586757-0.0048209899032626i
0.023333333333333334      -0.006                   0.0016041325665695797-0.004731589846508087i
0.023636363636363636      -0.006                   0.0015744977779644817-0.004644178354790403i
0.02393939393939394       -0.006                   0.0015455371659433802-0.004558755428109543i
0.024242424242424242      -0.006                   0.001517249100321105-0.0044753162580789775i
0.024545454545454544      -0.006                   0.00148959637816093-0.004393751110108457i
0.02484848484848485       -0.006                   0.0014625751375007478-0.004314048592863482i
0.02515151515151515       -0.006                   0.0014361862233978194-0.004236211198958676i
0.025454545454545455      -0.006                   0.0014103964032269056-0.0041601409047205586i
0.025757575757575757      -0.006                   0.0013851937543890005-0.004085802542976682i
0.026060606060606062      -0.006                   0.0013605796264296221-0.004013200094378827i
0.026363636363636363      -0.006                   0.0013365319438758511-0.003942268444622155i
0.026666666666666665      -0.006                   0.0013130278924726397-0.0038729403002594497i
0.02696969696969697       -0.006                   0.0012900674722199888-0.0038052156612907147i
0.02727272727272727       -0.006                   0.0012676417553306911-0.003739068194098489i
0.027575757575757576      -0.006                   0.0012457188781762022-0.0036744039129993234i
0.027878787878787878      -0.006                   0.0012242977380255435-0.003611219565353694i
0.028181818181818183      -0.006                   0.0012033749621957084-0.0035495052029950566i
0.028484848484848484      -0.006                   0.001182920227197396-0.0034891713830515385i
0.02878787878787879       -0.006                   0.0011629279195567012-0.0034302015479023224i
0.02909090909090909       -0.006                   0.001143397536561224-0.0033725942147048303i
0.029393939393939392      -0.006                   0.0011243037649899719-0.003316274718970412i
0.029696969696969697      -0.006                   0.0011056345085643448-0.00326120738131457i
0.03                      -0.006                   0.0010873897672843463-0.003207392201737312i
0                         -0.00593939393939394     -1.015123831513014E-7+2.9942338399290214E-7i
3.0303030303030303E-4     -0.00593939393939394     2.1340452489664933E-4-6.294629433075578E-4i
6.060606060606061E-4      -0.00593939393939394     4.253864759909052E-4-0.0012547298306458533i
9.090909090909091E-4      -0.00593939393939394     6.356869441673424E-4-0.0018750369778480964i
0.0012121212121212121     -0.00593939393939394     8.429862572568844E-4-0.0024864918509118843i
0.0015151515151515152     -0.00593939393939394     0.0010462779192675867-0.0030861256652185273i
0.0018181818181818182     -0.00593939393939394     0.0012449154076311713-0.003672031423753114i
0.002121212121212121      -0.00593939393939394     0.0014379614667113867-0.00424144457686445i
0.0024242424242424242     -0.00593939393939394     0.0016245209965343385-0.004791724916104399i
0.0027272727272727275     -0.00593939393939394     0.0018039245085675955-0.005320897703436993i
0.0030303030303030303     -0.00593939393939394     0.0019757592446387824-0.005827745458500606i
0.003333333333333333      -0.00593939393939394     0.002138954917489723-0.006309111237077051i
0.0036363636363636364     -0.00593939393939394     0.00229324562948816-0.006764210741433818i
0.00393939393939394       -0.00593939393939394     0.002438597702446711-0.007192944633677035i
0.004242424242424242      -0.00593939393939394     0.002573779285690359-0.007591679419671432i
0.004545454545454545      -0.00593939393939394     0.0026991684537176486-0.007961530275294282i
0.0048484848484848485     -0.00593939393939394     0.002814723712109719-0.008302374807940079i
0.005151515151515152      -0.00593939393939394     0.0029199122137594756-0.008612641320001505i
0.005454545454545455      -0.00593939393939394     0.0030148327133806075-0.008892621099718615i
0.005757575757575757      -0.00593939393939394     0.0030999210259393456-0.00914359963674098i
0.006060606060606061      -0.00593939393939394     0.003175109890587582-0.009365378537052065i
0.006363636363636364      -0.00593939393939394     0.003240138395300766-0.009557188208134032i
0.006666666666666666      -0.00593939393939394     0.0032960509959368734-0.009722109400251774i
0.0069696969696969695     -0.00593939393939394     0.0033428706995926156-0.009860209975656026i
0.007272727272727273      -0.00593939393939394     0.0033806404922784713-0.009971616726623495i
0.007575757575757576      -0.00593939393939394     0.0034102664660415815-0.01005900228227687i
0.00787878787878788       -0.00593939393939394     0.00343201358745581-0.01012314819396831i
0.008181818181818182      -0.00593939393939394     0.0034461493916287255-0.010164843589085093i
0.008484848484848484      -0.00593939393939394     0.003453317136159783-0.0101859858345147i
0.008787878787878787      -0.00593939393939394     0.003454091502029766-0.010188270022120607i
0.00909090909090909       -0.00593939393939394     0.0034487640042319243-0.010172556010939002i
0.009393939393939394      -0.00593939393939394     0.003437747610606328-0.010140061900163432i
0.009696969696969697      -0.00593939393939394     0.003421853250522402-0.010093179625206124i
0.01                      -0.00593939393939394     0.0034012182549842873-0.010032314260624228i
0.010303030303030303      -0.00593939393939394     0.0033763588431986722-0.009958988458098509i
0.010606060606060607      -0.00593939393939394     0.0033478788482882286-0.009874983297524731i
0.01090909090909091       -0.00593939393939394     0.0033159135810344876-0.009780697894574334i
0.011212121212121211      -0.00593939393939394     0.0032810506928940813-0.009677865599013302i
0.011515151515151515      -0.00593939393939394     0.0032436187577055972-0.009567455579977584i
0.011818181818181818      -0.00593939393939394     0.003203885262421748-0.009450256822927378i
0.012121212121212121      -0.00593939393939394     0.003162183316842364-0.009327251875878732i
0.012424242424242424      -0.00593939393939394     0.0031188459167021715-0.009199422950904916i
0.012727272727272728      -0.00593939393939394     0.0030741541537751085-0.00906759916262328i
0.013030303030303031      -0.00593939393939394     0.0030282717446098117-0.008932263412947955i
0.013333333333333332      -0.00593939393939394     0.002981499542624014-0.008794303106174772i
0.013636363636363636      -0.00593939393939394     0.002934076594820481-0.00865442334085484i
0.013939393939393939      -0.00593939393939394     0.0028860188138979024-0.008512671053429769i
0.014242424242424242      -0.00593939393939394     0.0028377633649237398-0.008370335715785843i
0.014545454545454545      -0.00593939393939394     0.002789301401855891-0.008227391235906246i
0.014848484848484849      -0.00593939393939394     0.002740728178363078-0.008084118576074545i
0.015151515151515152      -0.00593939393939394     0.002692269166163599-0.007941182792682869i
0.015454545454545455      -0.00593939393939394     0.002644014410420382-0.007798849485435169i
0.01575757575757576       -0.00593939393939394     0.0025960122102697573-0.007657261118518032i
0.01606060606060606       -0.00593939393939394     0.002548366701128329-0.007516724852016731i
0.016363636363636365      -0.00593939393939394     0.002501198511349929-0.007377596494450129i
0.016666666666666666      -0.00593939393939394     0.002454523542138264-0.007239922948400426i
0.016969696969696968      -0.00593939393939394     0.00240834851506831-0.007103724039966595i
0.017272727272727273      -0.00593939393939394     0.0023628893217393994-0.006969636567960961i
0.017575757575757574      -0.00593939393939394     0.002318043466475739-0.006837358209162469i
0.01787878787878788       -0.00593939393939394     0.0022738392894844726-0.006706972556409895i
0.01818181818181818       -0.00593939393939394     0.0022303991411074748-0.006578840497012041i
0.018484848484848486      -0.00593939393939394     0.0021876907108487253-0.006452866727587055i
0.018787878787878787      -0.00593939393939394     0.002145706107936431-0.006329027973271674i
0.019090909090909092      -0.00593939393939394     0.002104501819120231-0.006207490848596826i
0.019393939393939394      -0.00593939393939394     0.002064096700652659-0.006088310972748334i
0.019696969696969695      -0.00593939393939394     0.002024450355851307-0.005971369190728295i
0.02                      -0.00593939393939394     0.001985574679971523-0.005856700589013664i
0.020303030303030302      -0.00593939393939394     0.0019475394485129714-0.005744510979167496i
0.020606060606060607      -0.00593939393939394     0.0019102621227529324-0.005634556903239685i
0.02090909090909091       -0.00593939393939394     0.001873746846247078-0.005526850583115074i
0.021212121212121213      -0.00593939393939394     0.001838051452624888-0.005421562606165136i
0.021515151515151515      -0.00593939393939394     0.001803112588277637-0.005318506103426275i
