% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.016969696969696968      -0.006                   -23748.888561660937+9110.709596997753i
0.017272727272727273      -0.006                   -22679.541187319282+9174.103807787917i
0.017575757575757574      -0.006                   -21649.649562571693+9212.04777861553i
0.01787878787878788       -0.006                   -20659.1694686213+9224.509000615697i
0.01818181818181818       -0.006                   -19708.215933385192+9212.934339940282i
0.018484848484848486      -0.006                   -18796.413773848035+9181.697508648835i
0.018787878787878787      -0.006                   -17923.602094637754+9131.047929500988i
0.019090909090909092      -0.006                   -17089.748168336024+9061.37468943464i
0.019393939393939394      -0.006                   -16293.646751485721+8976.588876549113i
0.019696969696969695      -0.006                   -15534.748727424736+8877.60924736945i
0.02                      -0.006                   -14813.054096153022+8764.435801895645i
0.020303030303030302      -0.006                   -14127.29728576796+8639.608603916397i
0.020606060606060607      -0.006                   -13476.127357044365+8504.80093431484i
0.02090909090909091       -0.006                   -12859.544309982271+8360.012793090982i
0.021212121212121213      -0.006                   -12276.774525671211+8206.26943092041i
0.021515151515151515      -0.006                   -11725.66448606299+8045.679577546796i
0.02181818181818182       -0.006                   -11206.087697531464+7878.27935522448i
0.02212121212121212       -0.006                   -10717.75253766673+7704.355284058838i
0.022424242424242423      -0.006                   -10258.256266832701+7525.562192721278i
0.022727272727272728      -0.006                   -9827.069063602341+7342.118116176056i
0.02303030303030303       -0.006                   -9424.163999173394+7154.051565741907i
0.023333333333333334      -0.006                   -9047.547182360235+6962.26120294295i
0.023636363636363636      -0.006                   -8696.005868118418+6767.039074889254i
0.02393939393939394       -0.006                   -8369.540056447944+6568.385181580816i
0.024242424242424242      -0.006                   -8067.044037616477+6366.557141967301i
0.024545454545454544      -0.006                   -7786.494160915751+6161.692313483332i
0.02484848484848485       -0.006                   -7527.849861222455+5953.763021574476i
0.02515151515151515       -0.006                   -7290.675951158921+5742.78920634844i
0.025454545454545455      -0.006                   -7072.640166343122+5528.485289361597i
0.025757575757575757      -0.006                   -6873.400272692057+5310.736137691705i
0.026060606060606062      -0.006                   -6692.881958904379+5089.538417222204i
0.026363636363636363      -0.006                   -6529.009696602516+4864.275172974391i
0.026666666666666665      -0.006                   -6380.845668009606+4634.555106328497i
0.02696969696969697       -0.006                   -6248.389873125645+4400.378217284516i
0.02727272727272727       -0.006                   -6130.333659099315+4161.152585676845i
0.027575757575757576      -0.006                   -6024.8361323792915+3915.9815614818435i
0.027878787878787878      -0.006                   -5931.884586178459+3664.8560293288015i
0.028181818181818183      -0.006                   -5850.878901397972+3407.4091787526754i
0.028484848484848484      -0.006                   -5779.365492601949+3142.3137989787638i
0.02878787878787879       -0.006                   -5717.081032905752+2869.4520600846645i
0.02909090909090909       -0.006                   -5663.83901792285+2588.632907451477i
0.029393939393939392      -0.006                   -5617.077592713208+2298.5254227574856i
0.029696969696969697      -0.006                   -5575.986374411609+1998.9959192051388i
0.03                      -0.006                   -2.538717419405411E-9-8.322816742004975E-9i
0                         -0.00593939393939394     5.066344163200279-1.886225444064052i
3.0303030303030303E-4     -0.00593939393939394     -4136.880134025638-1523.1794359451546i
6.060606060606061E-4      -0.00593939393939394     -8240.9199906889-3028.4713426991784i
9.090909090909091E-4      -0.00593939393939394     -12304.824376553437-4511.020987107929i
0.0012121212121212121     -0.00593939393939394     -16308.088508617406-5930.752327745642i
0.0015151515151515152     -0.00593939393939394     -20214.771969814763-7303.445064436773i
0.0018181818181818182     -0.00593939393939394     -24014.999832139296-8605.181355142317i
0.002121212121212121      -0.00593939393939394     -27694.733854343413-9803.931305583206i
0.0024242424242424242     -0.00593939393939394     -31223.558515197994-10918.404555801932i
0.0027272727272727275     -0.00593939393939394     -34589.42913810923-11926.532180629461i
0.0030303030303030303     -0.00593939393939394     -37786.80742240685-12811.04725293403i
0.003333333333333333      -0.00593939393939394     -40789.14916054635-13573.42906651532i
0.0036363636363636364     -0.00593939393939394     -43588.87548315431-14210.234769716597i
0.00393939393939394       -0.00593939393939394     -46185.559254621665-14719.794366562002i
0.004242424242424242      -0.00593939393939394     -48556.94344549218-15073.582876764256i
