% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 16:35
% Dimension:          2
% Nodes:              500
% Expressions:        2
% Description:        Magnetic flux density, r component, Magnetic flux density, z component
% Length unit:        m
% r                       z                        mf.Br (T) @ freq=20000                            mf.Bz (T) @ freq=20000
0.006                     0.0025                   -8.384968057258816E-4+0.01016691332615037i        -5.320908588471462E-5+6.451690223020622E-4i
0.00604809619238477       0.0025                   -8.165860416899213E-4+0.009901241665456924i       -7.045333490623848E-5+8.542584117656495E-4i
0.006096192384769539      0.0025                   -7.946752776539618E-4+0.009635570004763498i       -8.766058480998059E-5+0.0010628991807681036i
0.006144288577154309      0.0025                   -7.727645136180014E-4+0.009369898344070059i       -1.0483170445976548E-4+0.0012711018644279261i
0.006192384769539079      0.0025                   -7.452582449459372E-4+0.009036380258365978i       -1.3175417193829768E-4+0.0015975412634944208i
0.0062404809619238475     0.0025                   -7.197182265561829E-4+0.008726703284591311i       -1.302291802439569E-4+0.0015790504853858325i
0.006288577154308617      0.0025                   -6.941782081664278E-4+0.008417026310816644i       -1.2852797199806225E-4+0.001558423052260692i
0.006336673346693387      0.0025                   -6.686381897766736E-4+0.008107349337041964i       -1.2665455972170683E-4+0.001535707616605134i
0.0063847695390781565     0.0025                   -6.430981713869176E-4+0.007797672363267283i       -1.246128350313992E-4+0.0015109513649170531i
0.006432865731462926      0.0025                   -6.175581529971634E-4+0.007487995389492609i       -1.224065731588565E-4+0.00148420007250931i
0.006480961923847696      0.0025                   -5.9201813460741E-4+0.007178318415717942i         -1.2003943726954301E-4+0.001455498155872867i
0.006529058116232465      0.0025                   -5.664781162176545E-4+0.006868641441943248i       -1.1751498259034805E-4+0.0014248887227254585i
0.006577154308617234      0.0025                   -5.760262248586637E-4+0.006984413848372124i       -1.4646579559311713E-4+0.0017759221488646455i
0.006625250501002004      0.0025                   -5.60542321538128E-4+0.006796668943519324i        -1.5334429193532338E-4+0.0018593250618488353i
0.0066733466933867735     0.0025                   -5.450584182175956E-4+0.00660892403866657i        -1.6013982226111543E-4+0.001941721998075384i
0.006721442885771543      0.0025                   -5.295745148970617E-4+0.006421179133813792i       -1.6685416759409656E-4+0.0020231345527519217i
0.006769539078156313      0.0025                   -5.140906115765247E-4+0.00623343422896099i        -1.7348905834264493E-4+0.002103583707368046i
0.006817635270541082      0.0025                   -4.986067082559933E-4+0.006045689324108233i       -1.8004617608525592E-4+0.002183089851342898i
0.006865731462925852      0.0025                   -4.8796522005116255E-4+0.005916659508489443i      -1.677217034815242E-4+0.0020336535697768263i
0.006913827655310622      0.0025                   -4.758873385863427E-4+0.005770213185524549i       -1.685549076517919E-4+0.0020437563090171897i
