% Model,FEA.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 12 2022, 20:07"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% r,z,mf.Jphi (A/m^2) @ freq=20000
0,-0.006,2.0290147816954834E-11+1.9617136193735237E-12i
1.507537688442211E-4,-0.006,1.13490202648361E-9-3.0529799146750186E-9i
3.015075376884422E-4,-0.006,2.24111690964547E-9-6.093182516932542E-9i
4.5226130653266326E-4,-0.006,3.3389347973025417E-9-9.118646093153211E-9i
6.030150753768844E-4,-0.006,4.428355689454818E-9-1.2129370643337006E-8i
7.537688442211055E-4,-0.006,5.509379586102299E-9-1.5125356167483946E-8i
9.045226130653265E-4,-0.006,6.582006487244987E-9-1.8106602665594003E-8i
0.0010552763819095476,-0.006,7.643786593628298E-9-2.1072956684457654E-8i
0.0012060301507537687,-0.006,8.680730810144825E-9-2.400745922508963E-8i
0.0013567839195979898,-0.006,9.691413509806934E-9-2.6902568012878395E-8i
0.001507537688442211,-0.006,1.067583469261462E-8-2.975828304782396E-8i
0.001658291457286432,-0.006,1.1633994358567886E-8-3.2574604329926306E-8i
0.001809045226130653,-0.006,1.2565892507666739E-8-3.5351531859185465E-8i
0.001959798994974874,-0.006,1.3471529139911167E-8-3.80890656356014E-8i
0.002110552763819095,-0.006,1.4344840598210013E-8-4.0781938675375124E-8i
0.0022613065326633165,-0.006,1.5178300678759253E-8-4.341533600745054E-8i
0.0024120603015075374,-0.006,1.597236282551536E-8-4.598837802358373E-8i
0.0025628140703517583,-0.006,1.6727027038478328E-8-4.850106472377469E-8i
0.0027135678391959797,-0.006,1.7442293317648167E-8-5.095339610802345E-8i
0.0028643216080402006,-0.006,1.8118161663024872E-8-5.3345372176330004E-8i
0.003015075376884422,-0.006,1.875394988470688E-8-5.56767316515018E-8i
0.003165829145728643,-0.006,1.933992919895112E-8-5.7937184005550584E-8i
0.003316582914572864,-0.006,1.9878744643892248E-8-6.012237138829688E-8i
0.003467336683417085,-0.006,2.0370396219530264E-8-6.223229379974073E-8i
0.003618090452261306,-0.006,2.081488392586517E-8-6.426695123988211E-8i
0.003768844221105527,-0.006,2.1212207762896964E-8-6.622634370872104E-8i
0.003919597989949748,-0.006,2.1562367730625655E-8-6.811047120625753E-8i
0.004070351758793969,-0.006,2.1862067888133483E-8-6.991751310367557E-8i
0.00422110552763819,-0.006,2.2109991112221623E-8-7.164168235534276E-8i
0.004371859296482411,-0.006,2.230959645632986E-8-7.328304987779611E-8i
0.004522613065326633,-0.006,2.2460883920458218E-8-7.484161567103571E-8i
0.004673366834170854,-0.006,2.2563853504606665E-8-7.63173797350615E-8i
0.004824120603015075,-0.006,2.261850520877523E-8-7.771034206987349E-8i
0.004974874371859296,-0.006,2.2624839032963893E-8-7.902050267547169E-8i
0.005125628140703517,-0.006,2.2579109957654605E-8-8.024632575192398E-8i
0.0052763819095477385,-0.006,2.248903312370201E-8-8.138898280447325E-8i
0.005427135678391959,-0.006,2.23557865463952E-8-8.244877579904208E-8i
