0.000637655163649268+6.77257919165403e-05i,0.000124484931517368+1.65982403314947e-05i,2.56613718830114e-05+6.98506254595251e-07i,6.36975704496838e-06+2.39921182120663e-07i,4.70953619292266e-05+3.39360461842599e-06i,3.86092624985699e-05+6.88933093104256e-07i,1.44702103235561e-05-6.85590193787513e-07i,4.88268305072685e-06-1.25776540392609e-07i,7.44151621652407e-06-6.88529901072058e-07i,9.50664563781642e-06-7.43870746779835e-07i,5.78645330215064e-06-4.93719710876713e-07i,2.57708920298653e-06-7.24800108762918e-08i,1.51463315737782e-06-8.46968972027603e-08i,2.48571952975953e-06-1.71956162136713e-07i,1.96578564082432e-06-8.16166549225126e-08i,9.79331237971748e-07+8.64136116695255e-08i
0.000637655163649267+6.77257919165392e-05i,4.70953619292254e-05+3.3936046184243e-06i,7.44151621652435e-06-6.88529901071151e-07i,1.51463315737522e-06-8.46968972080453e-08i,0.000124484931517367+1.65982403314955e-05i,3.8609262498568e-05+6.88933093100875e-07i,9.50664563781825e-06-7.43870746775592e-07i,2.48571952976002e-06-1.71956162135854e-07i,2.56613718830094e-05+6.98506254592636e-07i,1.44702103235558e-05-6.85590193788433e-07i,5.78645330215388e-06-4.93719710872265e-07i,1.96578564082507e-06-8.16166549240743e-08i,6.36975704497113e-06+2.39921182121644e-07i,4.88268305072166e-06-1.25776540402879e-07i,2.57708920299308e-06-7.24800108638627e-08i,9.79331237975007e-07+8.64136116743929e-08i
-6.2625541871597e-05-6.97582989333456e-05i,-5.61057674987652e-05+1.20139289647356e-05i,-7.16215121196394e-06+3.74276746128651e-06i,-1.38728236695166e-06+9.79596960168267e-07i,-5.61057674987607e-05+1.20139289647393e-05i,-1.7369055975697e-05+7.37847453969737e-06i,-3.67604810251903e-06+2.11309726771873e-06i,-9.52566282767773e-07+6.49188235721148e-07i,-7.16215121196282e-06+3.74276746128934e-06i,-3.67604810251645e-06+2.11309726771894e-06i,-1.37631068187671e-06+8.29398551877756e-07i,-5.24386991829612e-07+3.88253190429764e-07i,-1.38728236695107e-06+9.79596960171542e-07i,-9.52566282768874e-07+6.49188235717325e-07i,-5.2438699183613e-07+3.8825319041983e-07i,-2.82607741844298e-07+2.84177127700421e-07i
4.79251253544555e-06-2.13868400406578e-06i,0.000292423590293507+4.92956585949672e-05i,5.44299974886299e-05+4.09283226709478e-06i,1.22391503475047e-05+2.9730948323034e-07i,3.18718139369559e-06-1.65219772518331e-06i,5.03448216005795e-05+3.89931614487448e-06i,2.36317589387995e-05-3.03147824865711e-07i,8.03070020989789e-06-2.50814046783607e-07i,1.43408417138053e-06-7.02785064147309e-07i,9.0821519441974e-06-5.04174389398988e-07i,7.39982490201076e-06-5.25017901873678e-07i,3.66873786867056e-06-1.48977480400439e-07i,4.46267363102232e-07-1.47690577181834e-07i,2.10259861966968e-06-1.70989156406949e-07i,2.22214670427485e-06-1.16684728300003e-07i,1.33826302285517e-06+4.52035594208024e-08i
0.00135331349047635+0.000100058713723328i,0.000155686039972103+2.05416359632175e-05i,1.78138981756834e-05-6.57313231489415e-07i,3.24994830045581e-06-2.93461372379543e-07i,0.000155241456368497+2.11679690115875e-05i,7.6878055560025e-05+4.94355270880573e-06i,1.93428003854135e-05-1.0259079165173e-06i,4.75036834103202e-06-3.93832838392569e-07i,2.93826019978543e-05+2.92401089854986e-07i,2.17543604113837e-05-9.93865529137467e-07i,9.59669212987984e-06-8.76114551754877e-07i,3.33095666719061e-06-2.16181348555632e-07i,7.10797289047208e-06+8.99631176919546e-08i,6.4482207144597e-06-2.94568259543891e-07i,3.77100353269437e-06-1.91412803612088e-07i,1.53701067335533e-06+7.77949551362706e-08i
0.000521629771949131-0.000126360436852936i,-0.000138665422374601-8.82874278161636e-08i,-1.97350325511838e-05+8.01191863767428e-06i,-2.98632407633967e-06+1.86545023432186e-06i,-6.76415486914997e-05+1.34458834849841e-05i,-3.50679285308895e-05+1.17042292066359e-05i,-8.08817709793951e-06+4.4040524590788e-06i,-1.84455571831386e-06+1.21716624905408e-06i,-8.10576370672671e-06+4.44315535476172e-06i,-5.62303469139815e-06+3.32138450233844e-06i,-2.34957873596906e-06+1.50189212639588e-06i,-8.65899427716361e-07+6.16478822207157e-07i,-1.50086843007837e-06+1.05916831659248e-06i,-1.23172384877353e-06+8.58196402118671e-07i,-7.39632222464172e-07+5.38260782521715e-07i,-3.89055085991806e-07+3.41741099099345e-07i
-0.000625356323249956-7.18526462782531e-05i,0.000628495649730198+7.0303320535472e-05i,0.000122746847945113+1.72639695346873e-05i,2.48394205504559e-05+9.62254676534315e-07i,-3.97774920501915e-05-6.53512816374095e-06i,4.23595611350308e-05+5.08243824749379e-06i,3.71301952163711e-05+1.34589359473351e-06i,1.35112385116131e-05-2.86651596203478e-07i,-4.47078831380353e-06-5.54503332914665e-07i,5.92580710918041e-06-2.36288754195048e-07i,8.71820097777364e-06-4.19808622888541e-07i,5.10399200804438e-06-2.08203934961948e-07i,-6.93948488730813e-07-1.24876383713496e-07i,1.26320229066224e-06-1.18166778225875e-07i,2.24941819707066e-06-1.13799967955527e-07i,1.67224649419015e-06+1.61054243172916e-08i
0.000640562462311069+6.60192036747062e-05i,0.000641859248109325+6.51479572151792e-05i,4.78073870687108e-05+2.8143022087184e-06i,7.22379014210264e-06-5.85292525343672e-07i,0.000127546280896561+1.47802978555759e-05i,0.000129102852627473+1.37763699302006e-05i,3.95184920233969e-05-5.06624208499346e-08i,9.30081653575321e-06-6.75050426047686e-07i,2.7210283159809e-05-2.39325475990744e-07i,2.84336572125967e-05-9.84534624554841e-07i,1.51301765032547e-05-1.19554019953074e-06i,5.56246299424926e-06-4.07619403607875e-07i,6.9142123597882e-06-1.95837693593246e-08i,7.65809333715258e-06-4.12655457900603e-07i,5.18245554176906e-06-3.15169254894844e-07i,2.33759510401523e-06+4.35703723454622e-08i
-6.47261722271836e-05-6.65002252407933e-05i,-6.47733759991467e-05-6.62803079998793e-05i,-5.64269909720727e-05+1.26977738790452e-05i,-7.24708276870496e-06+3.92444819490137e-06i,-5.69292312020224e-05+1.37881421001515e-05i,-5.6937698892616e-05+1.39077491803374e-05i,-1.75829958385864e-05+7.95796574201636e-06i,-3.76054336710787e-06+2.35315184490773e-06i,-7.3892029153872e-06+4.25663535483453e-06i,-7.38632925626901e-06+4.26569896375448e-06i,-3.77944409578515e-06+2.39161642488639e-06i,-1.43119907501867e-06+9.95017364540029e-07i,-1.43762658361444e-06+1.03574843784562e-06i,-1.43347005791468e-06+1.00829374658313e-06i,-9.8629628386142e-07+7.12525310148785e-07i,-5.4549466548414e-07+4.45059082299404e-07i
-0.000289918404400195-5.05181126735581e-05i,2.85986025930954e-07-1.62037690533605e-07i,0.000291476158014004+4.98086764700384e-05i,5.35796240807371e-05+4.43397911758171e-06i,-4.80694435667766e-05-5.16357480943959e-06i,3.14867910617875e-07-2.00098786740678e-07i,4.94304385274339e-05+4.4509771462328e-06i,2.27137578458113e-05+1.46550318455313e-07i,-7.69368118763898e-06-2.40927009940658e-07i,2.22563947166995e-07-1.37620952874496e-07i,8.51705214387658e-06-1.80896650141268e-07i,6.74435596317527e-06-2.04555492744261e-07i,-1.53098458219589e-06-7.1910998888875e-08i,9.90911804591981e-08-5.09833068344885e-08i,1.88912323386238e-06-7.71717831021331e-08i,1.90979672866636e-06+7.28922818340699e-09i
