0.000641516713577295+7.78161704909757e-05i,0.000126107245605229+1.75371166222831e-05i,2.57336118656796e-05+4.0938468657548e-07i,6.32130169281087e-06+1.48888530849779e-07i,4.76551281003137e-05+3.59816649997917e-06i,3.87446835924775e-05+4.63178361406694e-07i,1.41519392371e-05-8.99848711776234e-07i,4.81431780247253e-06-2.21657051476378e-07i,7.41555933498076e-06-7.95428348451823e-07i,9.37774344494898e-06-8.05940440901297e-07i,5.8986162520735e-06-6.26322846466931e-07i,2.67068820564939e-06-2.04726948188444e-07i,1.49782001819057e-06-1.16779425360381e-07i,2.52618935450146e-06-2.220382611386e-07i,2.15366649522075e-06-1.83280129995341e-07i,1.04421180929134e-06+8.34656730395642e-09i
0.000641516713577295+7.78161704909786e-05i,4.7655128100314e-05+3.59816649998128e-06i,7.41555933498192e-06-7.95428348447289e-07i,1.49782001819097e-06-1.16779425356297e-07i,0.000126107245605228+1.75371166222835e-05i,3.87446835924787e-05+4.63178361410345e-07i,9.37774344494965e-06-8.05940440900816e-07i,2.52618935449894e-06-2.22038261141209e-07i,2.57336118656814e-05+4.09384686576138e-07i,1.41519392371008e-05-8.9984871177542e-07i,5.89861625207284e-06-6.26322846469807e-07i,2.1536664952186e-06-1.83280130000863e-07i,6.32130169281336e-06+1.48888530849981e-07i,4.8143178024761e-06-2.21657051468042e-07i,2.67068820565428e-06-2.04726948181065e-07i,1.04421180929381e-06+8.34656731035563e-09i
-6.79047924353646e-05-7.6299883604391e-05i,-5.5710483521309e-05+1.43460661067224e-05i,-6.71823649775445e-06+4.16510919532091e-06i,-1.25286903339648e-06+1.03523503668604e-06i,-5.57104835213099e-05+1.43460661067205e-05i,-1.67090879598045e-05+8.40546074208126e-06i,-3.37912790209514e-06+2.30542061902723e-06i,-8.61183037094483e-07+6.75517829702151e-07i,-6.7182364977565e-06+4.16510919532112e-06i,-3.37912790209056e-06+2.30542061903668e-06i,-1.25469761759022e-06+8.71274391554833e-07i,-4.76409244469538e-07+3.93839641812351e-07i,-1.25286903339903e-06+1.03523503668484e-06i,-8.61183037093506e-07+6.75517829701888e-07i,-4.76409244468537e-07+3.93839641810444e-07i,-2.52812112261081e-07+2.90631111189261e-07i
4.81662720560049e-06-2.26912425703023e-06i,0.000295843196731012+5.47068770405995e-05i,5.50121708833956e-05+3.88932389672004e-06i,1.2209608965534e-05+1.16221477858281e-07i,3.13028865187976e-06-1.74331498425594e-06i,5.08049298723939e-05+4.03210019174909e-06i,2.33432348930314e-05-5.93371267809502e-07i,7.91687079742756e-06-3.95507552540482e-07i,1.39949111275537e-06-7.39369757206092e-07i,9.08584523600087e-06-5.41179517596327e-07i,7.53289444343007e-06-6.94231307109275e-07i,3.72002337166492e-06-3.01371429969548e-07i,4.46884446615441e-07-1.69836011172685e-07i,2.19167541422327e-06-2.33899265739699e-07i,2.45696160903219e-06-2.37835340099866e-07i,1.40424490942824e-06-4.26525923837497e-08i
0.00135927196360527+0.000117717083649068i,0.000157500103783892+2.30159302492482e-05i,1.79108704263658e-05-7.79982599106218e-07i,3.22393499023527e-06-3.49924100615051e-07i,0.000157449608570201+2.28223301572063e-05i,7.75515313967965e-05+5.06523200474502e-06i,1.91585229446103e-05-1.16536959984967e-06i,4.78621389717577e-06-4.80934272597536e-07i,2.94966323625313e-05-3.8805716909934e-09i,2.14169688751371e-05-1.23793045105649e-06i,9.77807440175745e-06-1.12172593975139e-06i,3.6035831527105e-06-3.7050680021451e-07i,7.05719675573801e-06-4.40074946153537e-09i,6.39129431329016e-06-4.24260362514246e-07i,3.94710107686938e-06-4.00349139124339e-07i,1.64099039574579e-06-4.0883181405305e-08i
0.000513413619108678-0.000143008332434646i,-0.000139931957405517+2.09579932468989e-06i,-1.91037691285853e-05+9.1299623919309e-06i,-2.73960379973931e-06+2.01135963590525e-06i,-6.72886232117897e-05+1.60928481460148e-05i,-3.43622067549643e-05+1.34856840228911e-05i,-7.58718849184775e-06+4.8600069154487e-06i,-1.67702663880817e-06+1.29011096629871e-06i,-7.6053929927974e-06+4.92576180751755e-06i,-5.20471942675954e-06+3.62067762785388e-06i,-2.14964979582099e-06+1.62622882552466e-06i,-7.85442664682645e-07+6.56689377238338e-07i,-1.35637667098227e-06+1.1163916540655e-06i,-1.11133537885945e-06+8.99411225633872e-07i,-6.68127176153096e-07+5.71695240017909e-07i,-3.46262050404733e-07+3.60287346979293e-07i
-0.00062902972766817-8.21310908661972e-05i,0.000632079007923395+8.05601416658012e-05i,0.000124339860696768+1.82469660501915e-05i,2.49288279565779e-05+6.64605949525101e-07i,-4.04051411421019e-05-6.91615727236471e-06i,4.27361706806598e-05+5.5209729374751e-06i,3.69522302988607e-05+1.12137469519789e-06i,1.33587091949474e-05-4.97026203083197e-07i,-4.50114736036127e-06-5.24497982293675e-07i,6.08857088468115e-06-2.35251604194914e-07i,8.86696581173843e-06-5.97117378576041e-07i,5.07791851124701e-06-3.75787713853131e-07i,-6.73074936081517e-07-1.3739101063786e-07i,1.41373250359387e-06-1.91205361881747e-07i,2.52871163196694e-06-2.47683111244572e-07i,1.72785349815677e-06-7.74849902398752e-08i
0.000644446226581777+7.60662406825128e-05i,0.000645679378902579+7.51998657584562e-05i,4.8303959354633e-05+3.05610797924926e-06i,7.20315670583515e-06-6.8292449239383e-07i,0.000129144458586321+1.56956746302904e-05i,0.000130300943162972+1.48268949694957e-05i,3.93618659127746e-05-1.64600617255987e-07i,9.32035835701326e-06-8.1931315098175e-07i,2.7231904188947e-05-5.3427543901123e-07i,2.80730741531866e-05-1.27684093408544e-06i,1.54616088525421e-05-1.51661232708346e-06i,5.90251434599164e-06-6.5302835552864e-07i,6.85355094402469e-06-1.16466253391974e-07i,7.63485028602296e-06-5.95368456550988e-07i,5.49983500121212e-06-6.19078744859054e-07i,2.48516938562013e-06-1.35392661881529e-07i
-6.99222274547185e-05-7.27858381842015e-05i,-6.99361621484334e-05-7.25767721562745e-05i,-5.59936182816582e-05+1.50428339788769e-05i,-6.79507961925932e-06+4.34849813810239e-06i,-5.64288352984655e-05+1.62268912017933e-05i,-5.64107375199067e-05+1.62864794562722e-05i,-1.68759831057301e-05+8.92926472226574e-06i,-3.45179512648995e-06+2.54646100809635e-06i,-6.9042914156438e-06+4.68905183800453e-06i,-6.88286602619526e-06+4.66553657706977e-06i,-3.47642985239712e-06+2.65034309319537e-06i,-1.29645697745104e-06+1.08326986966331e-06i,-1.29768064144904e-06+1.08861510825261e-06i,-1.28987414699456e-06+1.067584278174e-06i,-8.86046585884353e-07+7.8414140475003e-07i,-4.84823949930481e-07+4.79601778458209e-07i
-0.000293419907131272-5.59319101648085e-05i,2.45549281841002e-07-1.30069573367339e-07i,0.000294877711513734+5.52610741832259e-05i,5.41844447088576e-05+4.23014796852463e-06i,-4.87689967779592e-05-5.23419764013112e-06i,2.35179768020768e-07-1.35833225160801e-07i,4.95266323097508e-05+4.57718332991222e-06i,2.2621773873554e-05-1.13647935831501e-07i,-7.67914110128468e-06-1.7004317880096e-07i,5.96736289976097e-07-1.11228069372056e-07i,8.6453875553083e-06-3.22198115267814e-07i,6.5895011668068e-06-3.66907135136257e-07i,-1.48806547046191e-06-8.08331089936548e-08i,3.05268191807978e-07-1.26977080918412e-07i,2.16553073050663e-06-1.976643708229e-07i,1.93100951935878e-06-7.16724078778209e-08i
0.000156897158417157+2.33682656516857e-05i,0.00136148835742753+0.000116124986969183i,0.000157763145152228+2.27760521343859e-05i,1.74878946943208e-05-5.17369112671258e-07i,7.70454049606038e-05+5.36557223237788e-06i,0.000159602668229807+2.11811982362328e-05i,7.74766103317672e-05+4.80771310916897e-06i,1.88900441063279e-05-9.64342673567927e-07i,2.10818030100393e-05-9.39045562394128e-07i,3.108563679965e-05-1.27797259011337e-06i,2.26790968219236e-05-1.68514657192332e-06i,9.52470157621205e-06-9.69794316811294e-07i,5.93054488564716e-06-1.61845366673431e-07i,8.22322384567792e-06-7.23452764321982e-07i,7.15204509814795e-06-8.3328428870028e-07i,3.60662519820417e-06-2.51230798113641e-07i
-0.000139946856583226+2.29049230905174e-06i,0.00051320183598449-0.000141883772479816i,-0.000139952358135065+2.29224955021018e-06i,-1.91192973820589e-05+9.22947935796873e-06i,-3.43692040337385e-05+1.36905187392218e-05i,-6.72947955217268e-05+1.66682336171828e-05i,-3.43421071352337e-05+1.35497362967307e-05i,-7.60663777284554e-06+4.99127131252451e-06i,-5.21371107693053e-06+3.76253431344472e-06i,-7.57564924276169e-06+5.10921828029158e-06i,-5.24602522797654e-06+3.83777930479185e-06i,-2.15519578207744e-06+1.75895394474023e-06i,-1.11736885400711e-06+9.63642106203138e-07i,-1.35408579309484e-06+1.14666585769926e-06i,-1.11869207772897e-06+1.00657850683119e-06i,-6.67455224420079e-07+6.44635772101888e-07i
-0.000123341223583981-1.86705739814617e-05i,-0.000631491702457693-8.08890033317222e-05i,0.000631439073676704+8.09344006265078e-05i,0.000123299818229285+1.87025552513106e-05i,-3.63928591791364e-05-1.62698487069734e-06i,-4.20871788393939e-05-5.85830940863006e-06i,4.18077350339093e-05+5.89473317417732e-06i,3.61537504003417e-05+1.68334272210317e-06i,-7.90805700867394e-06+1.42280486909453e-07i,-4.87739731744717e-06+3.57169251132553e-08i,5.41910256711989e-06-5.6309684788814e-08i,7.67195094314749e-06-1.80053420025154e-07i,-1.85296258927232e-06-3.00173338466125e-08i,-8.53888735380998e-07-3.20036450966169e-08i,1.20948389841003e-06-8.26241281195699e-08i,1.86321585344267e-06-6.17751279736368e-09i
4.76820174982625e-05+3.45717347206559e-06i,0.0006457640638114+7.51170528163018e-05i,0.000645709182658511+7.51606281580986e-05i,4.76579320536092e-05+3.49129100237172e-06i,3.89478370758831e-05+2.04248077133796e-07i,0.000130289984441219+1.47178399853075e-05i,0.000129658423030076+1.4795093193324e-05i,3.88703275822333e-05+2.57512566446925e-07i,1.43502629260063e-05-9.95967812694337e-07i,2.85881152038148e-05-1.49617979231589e-06i,2.92703817775868e-05-1.55677987161612e-06i,1.47697871579712e-05-1.15275097957314e-06i,4.663712291851e-06-1.5433045565435e-07i,7.94852823814939e-06-7.92150002046607e-07i,8.45448246274995e-06-9.78278795702146e-07i,4.91481018529064e-06-3.40007143059624e-07i
-5.59951587096012e-05+1.51035308720354e-05i,-6.99345357273089e-05-7.25370905712037e-05i,-6.99416319113092e-05-7.25529954280719e-05i,-5.60029236538492e-05+1.50946671546503e-05i,-1.68859954299377e-05+9.04664901420487e-06i,-5.63767205798825e-05+1.62913395615682e-05i,-5.63599356922802e-05+1.61442781545207e-05i,-1.69014059994051e-05+9.0184232322687e-06i,-3.45917323782458e-06+2.64525595685905e-06i,-6.85927262604957e-06+4.77766466883876e-06i,-6.95033802243085e-06+4.8449861112447e-06i,-3.47799852244633e-06+2.71726941319307e-06i,-8.88520551015251e-07+7.91969752882743e-07i,-1.28573841491311e-06+1.12207932743742e-06i,-1.31043508690157e-06+1.1852982681703e-06i,-8.8653512087053e-07+8.36761957075915e-07i
-5.42110055775647e-05-4.20797429960874e-06i,-0.000294912393288339-5.52289662260649e-05i,-2.70029164873633e-07+1.54300330760147e-07i,0.000293386369510659+5.59540099309983e-05i,-2.27677727119862e-05+1.37878626924683e-07i,-4.97502277533261e-05-4.55351978410635e-06i,-3.11882011263675e-07+1.60983310999572e-07i,4.85388385870229e-05+5.28489351763676e-06i,-6.61821588793695e-06+2.77895883076721e-07i,-7.95253929770612e-06+3.40925417512248e-07i,-4.47888961782569e-07+7.1615849926661e-08i,7.27375251646953e-06+1.86519076389433e-07i,-1.85601577163676e-06+1.51806868925379e-09i,-1.76772642278668e-06+9.0339002718191e-08i,-1.79394036690855e-07+7.23288503750192e-08i,1.40223727833964e-06+1.00888250224085e-07i
1.74873826395262e-05-5.27592412657216e-07i,0.000157766469180216+2.27686595642481e-05i,0.00136138275720951+0.000116206746321668i,0.000156840650064214+2.34324422114473e-05i,1.88560531495589e-05-9.64089354316766e-07i,7.78167646282985e-05+4.72866395935963e-06i,0.000158706444131073+2.12880416664873e-05i,7.67838895887784e-05+5.50370351253753e-06i,9.1096857787237e-06-8.13155628703438e-07i,2.24702150098397e-05-1.70698727756313e-06i,3.1976499356843e-05-1.3864976141455e-06i,2.1293881630895e-05-1.03915220657543e-06i,3.41997230518955e-06-1.11300267039082e-07i,6.94337594334189e-06-7.74710952511571e-07i,8.91659329375982e-06-9.99479858153841e-07i,6.17126924036163e-06-3.48625818485286e-07i
