% Center square through hole, size length 16 mm
0.00063750468954462+6.79418693222882e-05i,0.000123963895091103+1.70552463291411e-05i,2.53854935902657e-05+9.29244529439258e-07i,6.34360940534091e-06+2.59947131543463e-07i,4.66914301127349e-05+3.76182468179775e-06i,3.64507183368609e-05+1.30766123102454e-06i,1.41943657682365e-05-6.82617796831289e-07i,5.00030255604435e-06-2.66459034583456e-07i,7.39755139988224e-06-6.14144496029684e-07i,1.01360909281594e-05-8.7332825015325e-07i,7.61956326104919e-06-1.03573419575594e-06i,2.93328612773153e-06-3.98058017561752e-07i,1.56022746381071e-06-1.40103221294992e-07i,2.79174983932176e-06-4.36580771169581e-07i,2.39753711941964e-06-4.57896918922943e-07i,1.10522202271884e-06-8.7103288261703e-08i
0.00063750468954462+6.79418693222872e-05i,4.66914301127338e-05+3.76182468179603e-06i,7.3975513998825e-06-6.14144496028795e-07i,1.56022746380817e-06-1.40103221300315e-07i,0.000123963895091103+1.70552463291421e-05i,3.6450718336859e-05+1.30766123102117e-06i,1.01360909281612e-05-8.73328250148996e-07i,2.79174983932227e-06-4.36580771168721e-07i,2.53854935902636e-05+9.29244529436669e-07i,1.41943657682363e-05-6.82617796832186e-07i,7.61956326105242e-06-1.03573419575149e-06i,2.39753711942041e-06-4.57896918924505e-07i,6.34360940534363e-06+2.59947131544488e-07i,5.00030255603915e-06-2.66459034593725e-07i,2.93328612773806e-06-3.98058017549332e-07i,1.10522202272211e-06-8.71032882568442e-08i
-6.26360254298243e-05-6.97874355666114e-05i,-5.61123731328102e-05+1.1943546382632e-05i,-7.16278689419418e-06+3.72530206428055e-06i,-1.38512756256611e-06+9.83117143044745e-07i,-5.61123731328057e-05+1.19435463826357e-05i,-1.72842613151859e-05+7.14515699238783e-06i,-3.68595582874519e-06+2.15748498238252e-06i,-9.47835972198744e-07+6.80533913815476e-07i,-7.16278689419305e-06+3.72530206428338e-06i,-3.68595582874265e-06+2.1574849823827e-06i,-1.43554176049992e-06+9.99212144178393e-07i,-5.19874632588672e-07+4.35500881885615e-07i,-1.38512756256551e-06+9.83117143047993e-07i,-9.47835972199841e-07+6.80533913811658e-07i,-5.19874632595187e-07+4.3550088187567e-07i,-2.77139124083446e-07+3.02221890705892e-07i
4.62045280971268e-06-1.90925593696282e-06i,0.000291756049123803+4.98591016838983e-05i,5.39587045522795e-05+4.49117619016432e-06i,1.21631041715332e-05+3.87315035929097e-07i,2.81832624425381e-06-1.35135416373017e-06i,4.79784532085335e-05+4.48891286286529e-06i,2.2634208210485e-05-8.96728732215678e-08i,8.02860399735552e-06-2.80033135174202e-07i,1.55064631761592e-06-7.72374335485824e-07i,1.04743137014803e-05-8.28661823891032e-07i,9.41053823657651e-06-1.0661957063861e-06i,4.01027696262818e-06-4.44389269987508e-07i,5.46008569495274e-07-2.73345143511689e-07i,2.57749330609426e-06-5.66269629052448e-07i,2.75493649370182e-06-5.62137180774141e-07i,1.47947410376199e-06-1.39767381355074e-07i
0.0013530524733829+0.000100434961334296i,0.000154906287440271+2.1227570229724e-05i,1.7608232858179e-05-4.4659091402889e-07i,3.29301998599405e-06-3.47762337795086e-07i,0.00015442255156831+2.19149295007494e-05i,7.31254567381224e-05+6.00652888508556e-06i,1.99460045863467e-05-1.16301881785973e-06i,5.19168903390452e-06-7.68460522151678e-07i,2.90666301278996e-05+5.96968574421069e-07i,2.18344869813824e-05-1.09613596523418e-06i,1.268396703209e-05-1.80952952172713e-06i,4.03249733329991e-06-8.17244651961551e-07i,7.10704330539303e-06+7.59420735742088e-08i,6.75012348575126e-06-6.20133370650206e-07i,4.40324249955476e-06-7.79387146071711e-07i,1.74941376016973e-06-2.15199239532007e-07i
0.000521601991210421-0.000126455122138355i,-0.000138679946975055-3.29621687961259e-07i,-1.97470261877754e-05+7.9252393212379e-06i,-2.98645315234569e-06+1.86974017039924e-06i,-6.76465650141584e-05+1.32316959780964e-05i,-3.47482086112605e-05+1.09683116944997e-05i,-8.12461030398244e-06+4.45443110168955e-06i,-1.8421885792649e-06+1.30927875578403e-06i,-8.10290472149146e-06+4.39503506709327e-06i,-5.65852179625872e-06+3.49497789398119e-06i,-2.57987559579926e-06+2.08070589915765e-06i,-8.59061327830584e-07+7.81284319463515e-07i,-1.49235125242393e-06+1.07425416564852e-06i,-1.21519456685038e-06+9.73080528616761e-07i,-7.2801559371374e-07+7.07960444423767e-07i,-3.71696277820732e-07+4.06575318200585e-07i
-0.000625514431178084-7.16926050953771e-05i,0.000627756820440688+7.08445400318337e-05i,0.000122009536962436+1.78598838293046e-05i,2.46798203288092e-05+1.16859741864238e-06i,-3.99431675350726e-05-6.4977004104806e-06i,4.04536575465598e-05+5.31435725655038e-06i,3.49244284796349e-05+1.89737193051537e-06i,1.32576789991521e-05-7.19139451603015e-08i,-4.0907349526416e-06-8.71841544939513e-07i,8.30792175120573e-06-7.54456368564734e-07i,1.05041176867315e-05-7.27620490409365e-07i,5.32588329065441e-06-3.4405607081764e-07i,-5.20485894229158e-07-3.3636719292741e-07i,1.92195148594799e-06-6.13195883483071e-07i,2.83454405623743e-06-5.43701780756356e-07i,1.80765757501127e-06-1.33266387249166e-07i
0.000640121882356904+6.65836307632742e-05i,0.000640462860826569+6.6281560961777e-05i,4.7239023051411e-05+3.34662641479216e-06i,7.22332205935276e-06-5.73394547357544e-07i,0.000126327147529735+1.57368807739206e-05i,0.000123199298723313+1.51436744176182e-05i,3.94914287737468e-05+7.13138939892042e-08i,9.8001705850119e-06-1.07969329797973e-06i,2.69435612333309e-05-2.17925526660634e-08i,2.96603588848847e-05-1.3724425261512e-06i,1.99649930418566e-05-2.42436349629575e-06i,6.58656886268272e-06-1.23649653308137e-06i,6.9891439225381e-06-1.39623868458831e-07i,8.36230979133688e-06-1.05253691546953e-06i,6.27908279278643e-06-1.24079333327092e-06i,2.68074017163404e-06-3.93915764855439e-07i
-6.4757803968637e-05-6.6684178847002e-05i,-6.47525380844883e-05-6.67814019339402e-05i,-5.64406997806681e-05+1.24518015274643e-05i,-7.25688137621386e-06+3.90771151242063e-06i,-5.68935279048621e-05+1.34246709420038e-05i,-5.61754357444831e-05+1.25949601589691e-05i,-1.75817891732198e-05+7.82682350467633e-06i,-3.7789060104084e-06+2.47894715594553e-06i,-7.37975461029481e-06+4.22887451740968e-06i,-7.57490693592165e-06+4.76776345705037e-06i,-4.32183423041488e-06+3.47089167671352e-06i,-1.44895825861704e-06+1.29582914271032e-06i,-1.42117968115049e-06+1.08782755880138e-06i,-1.42438889229328e-06+1.27607503545679e-06i,-9.92552632239349e-07+1.05937960640916e-06i,-5.23197949875342e-07+5.73102236995188e-07i
-0.000289911960918464-5.0573243360431e-05i,-8.50996912618873e-08+5.18469836280641e-08i,0.000290580652675267+5.0441846072709e-05i,5.33074268703279e-05+4.75511627629156e-06i,-4.76497256924549e-05-5.57012453750271e-06i,6.13339730842454e-07-4.71793867360021e-07i,4.58411424463615e-05+5.1358596969427e-06i,2.20011080051192e-05+6.87312547852905e-07i,-6.98626518091643e-06-7.86225034736173e-07i,3.16453130916005e-06-6.31401154192007e-07i,8.90459526866101e-06-8.98904618034906e-08i,6.55942323200308e-06-1.37588834703585e-08i,-1.3048298853618e-06-3.18541916512224e-07i,7.48598854007057e-07-4.72132190945194e-07i,2.25356655124662e-06-2.9564219968055e-07i,1.94623358367865e-06-1.38223378074144e-08i
