% Model,disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 2 2022, 14:12"
% Dimension,2
% Nodes,2822
% Expressions,2
% Description,"Magnetic flux density, z component, Magnetic flux density, r component"
% Length unit,m
% r,z,mf.Bz (T) @ freq=5000,mf.Br (T) @ freq=5000
0.09000000000000001,-0.05,-9.344182490351987E-10+1.2330460919445398E-10i,4.351367892333862E-15-6.287837218438802E-16i
0.09000000000000002,-0.045000000000000005,8.093697998800154E-9-1.0762413375892667E-9i,-8.221477603798357E-9+1.1624996523407985E-9i
0.08673822616949592,-0.04666332532038629,6.431263351122068E-9-8.574718590949528E-10i,-1.5862856811876906E-9+2.1773533716020323E-10i
0.084700905952581,-0.05000000000000001,-8.74494627523655E-11+2.5482893499829494E-12i,4.2873049562438096E-15-6.220884169554131E-16i
0.09000000000000002,-0.04000000000000001,2.7732370051534777E-8-1.3472174778179076E-9i,-1.3445543992039053E-7+1.8616808701529345E-8i
0.08673708058363222,-0.04331918768515499,3.7638738172886035E-8-5.402089929645797E-9i,-3.0384219119031856E-8+4.298204725175368E-9i
0.07861717037138781,-0.05,-8.95703815051958E-10+1.2571226891367655E-10i,4.188873001852639E-15-6.078903403461693E-16i
0.08225314431126633,-0.04499743891677647,2.3603119163469432E-8-3.543460736311641E-9i,-7.480558718709189E-9+1.0469488805560974E-9i
0.08470090595258098,-0.04000000000000001,3.727160714054491E-8-2.395739060728338E-9i,-1.4813360686410322E-7+2.1119545788616143E-8i
0.07250495757659003,-0.05,-9.249254862237745E-10+1.2966807431300948E-10i,3.9860639858176946E-15-5.779690566627725E-16i
0.07566055110319553,-0.04499955975403964,2.198217009230925E-8-3.4307225909879408E-9i,-6.9402126204367514E-9+9.633365044051756E-10i
0.06639274478179226,-0.05,-9.51955953681349E-10+1.3310202640095567E-10i,3.781019482322802E-15-5.478068639113065E-16i
0.06946590803893553,-0.04499992131819014,2.2049315705642663E-8-3.5424423802425396E-9i,-6.3732857222534716E-9+8.701185575108229E-10i
0.0602805319869945,-0.05,-9.780128351532407E-10+1.3611464796618295E-10i,3.568841013406234E-15-5.167836584215257E-16i
0.06333949967399545,-0.044999974580990094,2.143312919159347E-8-3.541367266117893E-9i,-5.728618838664465E-9+7.588075186904526E-10i
0.04805610639739894,-0.05,-1.0315749757448184E-9+1.4127352103584262E-10i,3.117909560808655E-15-4.517779535930609E-16i
0.054168319192196716,-0.05,-1.0043181525736276E-9+1.388515153605538E-10i,3.348148288624643E-15-4.847873622589589E-16i
0.05111020417095141,-0.04499962219073281,1.8139138423745257E-8-3.089517795860917E-9i,-4.34497787005529E-9+5.068796007311927E-10i
0.05722455938677427,-0.04499993697702201,2.009894529678904E-8-3.396830439855087E-9i,-5.039358126863528E-9+6.349881183572293E-10i
0.07861717037138787,-0.04000000000000001,6.35473469969127E-8-6.1996864719409345E-9i,-1.591422344597245E-7+2.3292568589339684E-8i
0.04194389360260117,-0.05,-1.0700263567268542E-9+1.460584009464554E-10i,2.87526976834537E-15-4.173211786989016E-16i
0.044994829581961604,-0.04500144295883366,1.580084548793564E-8-2.6233034747127252E-9i,-3.6635727305165486E-9+3.81508404427144E-10i
0.07250495757659008,-0.04000000000000001,8.527842990044929E-8-9.10662469742552E-9i,-1.7044256815406506E-7+2.573052749189437E-8i
0.06639274478179229,-0.04000000000000001,1.1225028910213594E-7-1.300351902282747E-8i,-1.8016630145991224E-7+2.8133718090067596E-8i
0.060280531986994505,-0.04000000000000001,1.444715937615829E-7-1.804176571795152E-8i,-1.8703170505336945E-7+3.028871777273429E-8i
0.054168319192196716,-0.04000000000000001,1.811322222457492E-7-2.4291992186321226E-8i,-1.8961204560765087E-7+3.1908763738784835E-8i
0.04805610639739893,-0.04000000000000001,2.202650626653088E-7-3.163851725014284E-8i,-1.8663404099834415E-7+3.266446673580729E-8i
0.035831680807803405,-0.05,-1.1212244978963496E-9+1.5259380527875786E-10i,2.6163043230956132E-15-3.807752490529089E-16i
0.0388656362668641,-0.04499386289348081,1.3644682736331919E-8-2.0729467228581582E-9i,-3.076435563902364E-9+2.771454895763445E-10i
0.041943893602601146,-0.04000000000000001,2.5880727716429305E-7-3.96927656798076E-8i,-1.7734783998033985E-7+3.224544299449814E-8i
0.02971946801300564,-0.05,-1.1478480379818973E-9+1.5122011259236496E-10i,2.341492899722184E-15-3.427936001696447E-16i
0.03267475389786294,-0.04498079471415121,1.2206764505854383E-8-1.5648134223724458E-9i,-2.5380282341661116E-9+1.9276760908471436E-10i
0.03583168080780336,-0.04000000000000001,2.9309210683324505E-7-4.7713023436670865E-8i,-1.6180120332080058E-7+3.044624925197511E-8i
0.029719468013005568,-0.04000000000000001,3.195659078285483E-7-5.463413901612885E-8i,-1.4089234709870862E-7+2.7237008324924056E-8i
0.023607255218207873,-0.05,-1.2175141339435437E-9+1.6276691589358676E-10i,2.0412846696842958E-15-3.018194513460032E-16i
0.026483147714084696,-0.045010012506107186,1.136483156719613E-8-1.1580726782511045E-9i,-1.8312512323468803E-9+9.716402929013433E-11i
0.023607255218207782,-0.04000000000000001,3.3803827065252914E-7-5.986936685564741E-8i,-1.1645993504093219E-7+2.2890102711540953E-8i
0.017495042423410104,-0.05,-1.3273259063488436E-9+1.8112233911655973E-10i,1.7024980128666873E-15-2.549243823349722E-16i
0.020273067755977783,-0.045022730555795434,1.1659849501361494E-8-1.0020780683338792E-9i,-1.2018410433218694E-9+2.7037770942453052E-11i
0.011382829628612338,-0.05,-1.5106042575944437E-9+2.1269749307222325E-10i,1.3037353251052285E-15-1.985158317888045E-16i
0.01402922940211782,-0.04502396032576776,1.3186841385695774E-8-1.1795429009667234E-9i,-5.859623452602993E-10-3.3089988441630564E-11i
0.017495042423409993,-0.04000000000000001,3.501906492823854E-7-6.315822001431486E-8i,-9.003535556940234E-8+1.780294832674153E-8i
0,-0.05,NaN,NaN
0.005299094047419056,-0.05,-1.519423596132132E-9+2.3155538729359587E-10i,8.564642943245393E-16-1.3220434114681925E-16i
0.003177170550070357,-0.046726947329617324,1.0323896562458375E-8-1.6359594493638545E-9i,-1.4589314695692492E-10+2.3288823236162634E-11i
0.007686102974379365,-0.045014161343533574,1.7691844061209255E-8-1.988534553239826E-9i,-3.41943109671377E-11-7.518847363720264E-11i
0.01138282962861221,-0.04000000000000001,3.596523040732433E-7-6.511621718968463E-8i,-6.252214555382237E-8+1.234633331997035E-8i
0,-0.045000000000000005,Inf-Infi,NaN
0.005299094047419036,-0.04000000000000001,3.958364307387179E-7-7.227290659638936E-8i,-3.584222076732128E-8+7.0938476192281954E-9i
0,-0.04,Inf-Infi,NaN
0.0032324735164047337,-0.04334822174934983,3.9329200244687124E-8-3.875903470914807E-9i,-1.0701183003438113E-9+1.4018726042482797E-10i
0.03,-0.006,4.746260245180505E-6-5.008566045792291E-7i,2.535270656367497E-6+9.631395596242954E-7i
0.029883195829360696,-0.006,4.378194552905909E-6-8.04510915295681E-7i,3.0186434403733995E-6+1.1515479992963813E-6i
0.029941246408268403,-0.006137993959414219,4.133159647637737E-6-7.81059151739503E-7i,2.516633522937891E-6+8.819027542074309E-7i
0.03,-0.005799999999999983,5.4748423714557445E-6-2.737442920252294E-7i,2.1582986291382093E-6+5.916534296677455E-7i
0.03,-0.0058999999999999825,5.1948370502232315E-6-2.99864710461749E-7i,2.349955686964417E-6+7.641034193455964E-7i
0.03009770881631709,-0.005842753500105793,5.211039503064359E-6-4.0799409136504987E-7i,1.973572110375418E-6+6.355357975237193E-7i
0.03,-0.005699999999999983,5.694946792424571E-6-3.044894582004098E-7i,1.9750048613560375E-6+4.540713198238705E-7i
0.03009310126952873,-0.005744371803054379,5.449642891754509E-6-3.9710284962182837E-7i,1.8475436764867025E-6+5.315756143580732E-7i
0.03,-0.005199999999999985,6.406668200141853E-6-7.323138014651622E-7i,1.1867490117678746E-6+1.2675704127258197E-7i
0.03,-0.005299999999999984,6.2955972376236995E-6-6.310835094798533E-7i,1.3258089870141789E-6+1.5287238532649556E-7i
0.030083536408573048,-0.005248624481160786,6.241295803230703E-6-7.034819895242293E-7i,1.154257690803755E-6+2.1609885503110076E-7i
0.03,-0.005099999999999986,6.509315298598825E-6-8.353075484330212E-7i,1.057092948127751E-6+1.162195711878141E-7i
