1,-0.03,-0.03
2,-0.028,-0.03
3,-0.026,-0.03
4,-0.024,-0.03
5,-0.022,-0.03
6,-0.02,-0.03
7,-0.018,-0.03
8,-0.016,-0.03
9,-0.014,-0.03
10,-0.012,-0.03
11,-0.01,-0.03
12,-0.008,-0.03
13,-0.006,-0.03
14,-0.004,-0.03
15,-0.002,-0.03
16,0,-0.03
17,0.002,-0.03
18,0.004,-0.03
19,0.006,-0.03
20,0.008,-0.03
21,0.01,-0.03
22,0.012,-0.03
23,0.014,-0.03
24,0.016,-0.03
25,0.018,-0.03
26,0.02,-0.03
27,0.022,-0.03
28,0.024,-0.03
29,0.026,-0.03
30,0.028,-0.03
31,0.03,-0.03
32,-0.03,-0.028
33,-0.028,-0.028
34,-0.026,-0.028
35,-0.024,-0.028
36,-0.022,-0.028
37,-0.02,-0.028
38,-0.018,-0.028
39,-0.016,-0.028
40,-0.014,-0.028
41,-0.012,-0.028
42,-0.01,-0.028
43,-0.008,-0.028
44,-0.006,-0.028
45,-0.004,-0.028
46,-0.002,-0.028
47,0,-0.028
48,0.002,-0.028
49,0.004,-0.028
50,0.006,-0.028
51,0.008,-0.028
52,0.01,-0.028
53,0.012,-0.028
54,0.014,-0.028
55,0.016,-0.028
56,0.018,-0.028
57,0.02,-0.028
58,0.022,-0.028
59,0.024,-0.028
60,0.026,-0.028
61,0.028,-0.028
62,0.03,-0.028
63,-0.03,-0.026
64,-0.028,-0.026
65,-0.026,-0.026
66,-0.024,-0.026
67,-0.022,-0.026
68,-0.02,-0.026
69,-0.018,-0.026
70,-0.016,-0.026
71,-0.014,-0.026
72,-0.012,-0.026
73,-0.01,-0.026
74,-0.008,-0.026
75,-0.006,-0.026
76,-0.004,-0.026
77,-0.002,-0.026
78,0,-0.026
79,0.002,-0.026
80,0.004,-0.026
81,0.006,-0.026
82,0.008,-0.026
83,0.01,-0.026
84,0.012,-0.026
85,0.014,-0.026
86,0.016,-0.026
87,0.018,-0.026
88,0.02,-0.026
89,0.022,-0.026
90,0.024,-0.026
91,0.026,-0.026
92,0.028,-0.026
93,0.03,-0.026
94,-0.03,-0.024
95,-0.028,-0.024
96,-0.026,-0.024
97,-0.024,-0.024
98,-0.022,-0.024
99,-0.02,-0.024
100,-0.018,-0.024
101,-0.016,-0.024
102,-0.014,-0.024
103,-0.012,-0.024
104,-0.01,-0.024
105,-0.008,-0.024
106,-0.006,-0.024
107,-0.004,-0.024
108,-0.002,-0.024
109,0,-0.024
110,0.002,-0.024
111,0.004,-0.024
112,0.006,-0.024
113,0.008,-0.024
114,0.01,-0.024
115,0.012,-0.024
116,0.014,-0.024
117,0.016,-0.024
118,0.018,-0.024
119,0.02,-0.024
120,0.022,-0.024
121,0.024,-0.024
122,0.026,-0.024
123,0.028,-0.024
124,0.03,-0.024
125,-0.03,-0.022
126,-0.028,-0.022
127,-0.026,-0.022
128,-0.024,-0.022
129,-0.022,-0.022
130,-0.02,-0.022
131,-0.018,-0.022
132,-0.016,-0.022
133,-0.014,-0.022
134,-0.012,-0.022
135,-0.01,-0.022
136,-0.008,-0.022
137,-0.006,-0.022
138,-0.004,-0.022
139,-0.002,-0.022
140,0,-0.022
141,0.002,-0.022
142,0.004,-0.022
143,0.006,-0.022
144,0.008,-0.022
145,0.01,-0.022
146,0.012,-0.022
147,0.014,-0.022
148,0.016,-0.022
149,0.018,-0.022
150,0.02,-0.022
151,0.022,-0.022
152,0.024,-0.022
153,0.026,-0.022
154,0.028,-0.022
155,0.03,-0.022
156,-0.03,-0.02
157,-0.028,-0.02
158,-0.026,-0.02
159,-0.024,-0.02
160,-0.022,-0.02
161,-0.02,-0.02
162,-0.018,-0.02
163,-0.016,-0.02
164,-0.014,-0.02
165,-0.012,-0.02
166,-0.01,-0.02
167,-0.008,-0.02
168,-0.006,-0.02
169,-0.004,-0.02
170,-0.002,-0.02
171,0,-0.02
172,0.002,-0.02
173,0.004,-0.02
174,0.006,-0.02
175,0.008,-0.02
176,0.01,-0.02
177,0.012,-0.02
178,0.014,-0.02
179,0.016,-0.02
180,0.018,-0.02
181,0.02,-0.02
182,0.022,-0.02
183,0.024,-0.02
184,0.026,-0.02
185,0.028,-0.02
186,0.03,-0.02
187,-0.03,-0.018
188,-0.028,-0.018
189,-0.026,-0.018
190,-0.024,-0.018
191,-0.022,-0.018
192,-0.02,-0.018
193,-0.018,-0.018
194,-0.016,-0.018
195,-0.014,-0.018
196,-0.012,-0.018
197,-0.01,-0.018
198,-0.008,-0.018
199,-0.006,-0.018
200,-0.004,-0.018
201,-0.002,-0.018
202,0,-0.018
203,0.002,-0.018
204,0.004,-0.018
205,0.006,-0.018
206,0.008,-0.018
207,0.01,-0.018
208,0.012,-0.018
209,0.014,-0.018
210,0.016,-0.018
211,0.018,-0.018
212,0.02,-0.018
213,0.022,-0.018
214,0.024,-0.018
215,0.026,-0.018
216,0.028,-0.018
217,0.03,-0.018
218,-0.03,-0.016
219,-0.028,-0.016
220,-0.026,-0.016
221,-0.024,-0.016
222,-0.022,-0.016
223,-0.02,-0.016
224,-0.018,-0.016
225,-0.016,-0.016
226,-0.014,-0.016
227,-0.012,-0.016
228,-0.01,-0.016
229,-0.008,-0.016
230,-0.006,-0.016
231,-0.004,-0.016
232,-0.002,-0.016
233,0,-0.016
234,0.002,-0.016
235,0.004,-0.016
236,0.006,-0.016
237,0.008,-0.016
238,0.01,-0.016
239,0.012,-0.016
240,0.014,-0.016
241,0.016,-0.016
242,0.018,-0.016
243,0.02,-0.016
244,0.022,-0.016
245,0.024,-0.016
