% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 16:35
% Dimension:          2
% Nodes:              500
% Expressions:        2
% Description:        Magnetic flux density, r component, Magnetic flux density, z component
% Length unit:        m
% r                       z                        mf.Br (T) @ freq=20000                            mf.Bz (T) @ freq=20000
0.006                     0.0025                   -0.0016001804864384486+0.010753997717511088i      -6.082828036170614E-4+0.0012826813075665598i
0.00604809619238477       0.0025                   -0.0015716319756312069+0.010483553269732892i      -6.248073611873692E-4+0.0014932941993625248i
0.006096192384769539      0.0025                   -0.001543083464823966+0.010213108821954711i       -6.41277455415425E-4+0.0017034430385703004i
0.006144288577154309      0.0025                   -0.001514534954016725+0.00994266437417652i        -6.576943652838242E-4+0.0019131387227066194i
0.006192384769539079      0.0025                   -0.001478494995909319+0.009602772243180388i       -6.871688149695722E-4+0.002243773080588785i
0.0062404809619238475     0.0025                   -0.0014447080147944227+0.00928703649561785i       -6.79622015532524E-4+0.002221657875263258i
0.006288577154308617      0.0025                   -0.001410921033679526+0.008971300748055286i       -6.718429433107099E-4+0.00219735302136402i
0.006336673346693387      0.0025                   -0.0013771340525646286+0.008655565000492735i      -6.638368872479944E-4+0.002170908378061673i
0.0063847695390781565     0.0025                   -0.001343347071449732+0.008339829252930177i       -6.556089769227044E-4+0.002142372302178854i
0.006432865731462926      0.0025                   -0.001309560090334835+0.008024093505367626i       -6.471641885052148E-4+0.0021117917043529406i
0.006480961923847696      0.0025                   -0.0012757731092199389+0.007708357757805082i      -6.385073504502682E-4+0.0020792121026976095i
0.006529058116232465      0.0025                   -0.0012419861281050414+0.007392622010242517i      -6.296431489376985E-4+0.00204467767409312i
0.006577154308617234      0.0025                   -0.001253965255540962+0.007512119605187349i       -6.617050330201803E-4+0.0024004544075435542i
0.006625250501002004      0.0025                   -0.0012331080228488937+0.00732108054125245i       -6.647219411865759E-4+0.0024823350883331216i
0.0066733466933867735     0.0025                   -0.001212250790156827+0.007130041477317594i       -6.676259210488032E-4+0.0025631819360769537i
0.006721442885771543      0.0025                   -0.00119139355746476+0.006939002413382719i        -6.70419396828059E-4+0.0026430171439709035i
0.006769539078156313      0.0025                   -0.0011705363247726914+0.006747963349447822i      -6.731047238511575E-4+0.00272186227449858i
0.006817635270541082      0.0025                   -0.001149679092080624+0.006556924285512966i       -6.756841909806606E-4+0.0027997382816781938i
0.006865731462925852      0.0025                   -0.001134731653948234+0.00642568300085661i        -6.546389572816688E-4+0.0026440144281357158i
0.006913827655310622      0.0025                   -0.001117962722642812+0.006276682861124679i       -6.502366712698951E-4+0.0026509401780641585i
0.006961923847695391      0.0025                   -0.0011011937913373894+0.006127682721392723i      -6.456920263035269E-4+0.0026565170372957465i
0.00701002004008016       0.0025                   -0.0010844248600319671+0.0059786825816607716i     -6.410079525840309E-4+0.0026607727703045364i
0.00705811623246493       0.0025                   -0.0010676559287265445+0.005829682441928817i      -6.361873004436687E-4+0.002663734384781584i
0.0071062124248496995     0.0025                   -0.0010508869974211225+0.005680682302196864i      -6.312328430483459E-4+0.002665428157245339i
0.007154308617234469      0.0025                   -0.0010341180661156998+0.005531682162464888i      -6.261472789914402E-4+0.002665879657618734i
0.007202404809619239      0.0025                   -0.0010173491348102774+0.005382682022732947i      -6.209332347837008E-4+0.0026651137728217872i
0.007250501002004008      0.0025                   -0.001000580203504855+0.005233681883000982i       -6.155932672440501E-4+0.0026631547294250547i
0.007298597194388778      0.0025                   -9.947158156832082E-4+0.0051966395374137i         -6.0499575749966E-4+0.002607362736665421i
0.007346693386773547      0.0025                   -9.787333087232235E-4+0.005053817747740406i       -5.975092999183873E-4+0.002584636790838049i
0.007394789579158317      0.0025                   -9.627508017632377E-4+0.004910995958067106i       -5.898925958553838E-4+0.00256067447484554i
0.007442885771543086      0.0025                   -9.46768294803253E-4+0.0047681741683938406i       -5.821481702828317E-4+0.0025354997570917422i
0.007490981963927856      0.0025                   -9.25348648798398E-4+0.004574896145002181i        -5.889475102775491E-4+0.002645262899452534i
0.0075390781563126254     0.0025                   -9.127248505654411E-4+0.004465363831294444i       -5.777524964975213E-4+0.002581875086186252i
0.007587174348697395      0.0025                   -9.001010523324842E-4+0.0043558315175867045i      -5.664150740086244E-4+0.0025171015590215165i
0.007635270541082165      0.0025                   -8.884393450223198E-4+0.00427034943493457i        -5.573433741110684E-4+0.0024953736660827228i
0.0076833667334669335     0.0025                   -8.786653139373823E-4+0.0041913912225939425i      -5.51649823983724E-4+0.002484613667407136i
0.007731462925851704      0.0025                   -8.688912828524444E-4+0.004112433010253297i       -5.458579447706706E-4+0.0024728888846936455i
0.007779559118236473      0.0025                   -8.591172517675072E-4+0.004033474797912683i       -5.399695601952916E-4+0.0024602172119274567i
0.007827655310621243      0.0025                   -8.493432206825691E-4+0.003954516585572039i       -5.339864491582748E-4+0.002446616103303117i
0.007875751503006012      0.0025                   -8.395691895976319E-4+0.003875558373231411i       -5.279103471062457E-4+0.002432102586653136i
0.007923847695390781      0.0025                   -8.297951585126943E-4+0.003796600160890798i       -5.217429473505552E-4+0.0024166932763876967i
0.007971943887775551      0.0025                   -8.200211274277565E-4+0.003717641948550153i       -5.154859023383275E-4+0.002400404385965881i
0.008020040080160322      0.0025                   -8.102470963428188E-4+0.0036386837362094946i      -5.091408248777774E-4+0.0023832517399182632i
0.00806813627254509       0.0025                   -8.004730652578812E-4+0.003559725523868896i       -5.027092893196937E-4+0.002365250785439336i
0.00811623246492986       0.0025                   -7.906990341729437E-4+0.0034807673115282572i      -4.96192832696922E-4+0.0023464166035678693i
0.00816432865731463       0.0025                   -7.809250030880059E-4+0.003401809099187617i       -4.895929558235652E-4+0.0023267639199720945i
0.008212424849699399      0.0025                   -7.711509720030685E-4+0.0033228508868469835i      -4.829111243555639E-4+0.002306307115355787i
0.00826052104208417       0.0025                   -7.613769409181305E-4+0.0032438926745063483i      -4.7614876981422134E-4+0.002285060235500947i
0.008308617234468938      0.0025                   -7.51602909833193E-4+0.003164934462165727i        -4.693072905741836E-4+0.0022630370009616646i
0.008356713426853707      0.0025                   -7.418288787482558E-4+0.003085976249825099i       -4.623880528172989E-4+0.002240250816423144i
0.008404809619238477      0.0025                   -7.32054847663318E-4+0.003007018037484443i        -4.553923914537264E-4+0.0022167147797394426i
0.008452905811623246      0.0025                   -7.230363020663554E-4+0.002979471509819068i       -4.4841024357905753E-4+0.0021984289598314193i
0.008501002004008017      0.0025                   -7.131697476957412E-4+0.002903275775515267i       -4.412896797819095E-4+0.0021746402594372194i
0.008549098196392785      0.0025                   -7.062867466652374E-4+0.0028067058147100057i      -4.34639409877354E-4+0.002144274780790355i
0.008597194388777554      0.0025                   -6.994866412290727E-4+0.002762417162541945i       -4.289712984110542E-4+0.0021274082913789044i
0.008645290581162325      0.0025                   -6.926865357929065E-4+0.002718128510373918i       -4.2324187556160145E-4+0.0021099055455730516i
