% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 19 2022, 16:35
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000
0                         -0.006                   -42.341953184466604-8.851673079888489i
3.0303030303030303E-4     -0.006                   -6111.958479963737+12377.65920289769i
6.060606060606061E-4      -0.006                   -12097.066395065327+24646.71079405105i
9.090909090909091E-4      -0.006                   -17997.665698489225+36798.30310038019i
0.0012121212121212121     -0.006                   -23762.000662948354+48798.024960702875i
0.0015151515151515152     -0.006                   -29271.554832431597+60501.1812589781i
0.0018181818181818182     -0.006                   -34522.37549927476+71893.51517040962i
0.002121212121212121      -0.006                   -39498.212400063494+82963.31514233096i
0.0024242424242424242     -0.006                   -44099.06148529702+93587.82290504943i
0.0027272727272727275     -0.006                   -48309.92147104249+103734.50471898215i
0.0030303030303030303     -0.006                   -52127.737695794865+113402.4452208314i
0.003333333333333333      -0.006                   -55484.385109634895+122518.62597674165i
0.0036363636363636364     -0.006                   -58371.61113693526+131037.53437027776i
0.00393939393939394       -0.006                   -60789.415777695925+138959.17040143942i
0.004242424242424242      -0.006                   -62708.89463750646+146258.47298057599i
0.004545454545454545      -0.006                   -64137.19498451968+152898.3126570682i
0.0048484848484848485     -0.006                   -65079.928358709774+158878.74078467785i
0.005151515151515152      -0.006                   -65526.85789023711+164194.3588341818i
0.005454545454545455      -0.006                   -65511.748544841495+168842.71235333264i
0.005757575757575757      -0.006                   -65056.09218094264+172828.3817206045i
0.006060606060606061      -0.006                   -64155.53008323051+176150.04463593848i
0.006363636363636364      -0.006                   -62850.732354191096+178830.85350257278i
0.006666666666666666      -0.006                   -61194.96468734214+180894.17705635435i
0.0069696969696969695     -0.006                   -59188.22708268357+182340.01529728324i
0.007272727272727273      -0.006                   -56857.55620793183+183196.3814581608i
0.007575757575757576      -0.006                   -54287.787627653684+183517.42564345975i
0.00787878787878788       -0.006                   -51481.64717071586+183304.195837855i
0.008181818181818182      -0.006                   -48451.81622201963+182573.22794375013i
0.008484848484848484      -0.006                   -45288.20267050395+181402.52673258504i
0.008787878787878787      -0.006                   -42005.886013877745+179801.94745415085i
0.00909090909090909       -0.006                   -38607.730849653184+177777.10516634973i
0.009393939393939394      -0.006                   -35164.73590318852+175407.81708037076i
0.009696969696969697      -0.006                   -31706.390562396162+172719.92856915214i
0.01                      -0.006                   -28232.694827276046+169713.4396326937i
0.010303030303030303      -0.006                   -24782.623870035397+166447.2902709263i
0.010606060606060607      -0.006                   -21396.57055114684+162969.21272472476i
0.01090909090909091       -0.006                   -18074.534870610325+159279.206994089i
0.011212121212121211      -0.006                   -14831.168155037894+155406.15667592798i
0.011515151515151515      -0.006                   -11702.680649565791+151413.58479723372i
0.011818181818181818      -0.006                   -8690.660702177092+147303.23525117742i
0.012121212121212121      -0.006                   -5798.678990252605+143084.8516775408i
0.012424242424242424      -0.006                   -3048.144468446467+138817.57005630108i
0.012727272727272728      -0.006                   -442.11124181493676+134510.03099639437i
0.013030303030303031      -0.006                   2019.0937545265842+130163.44321875958i
0.013333333333333332      -0.006                   4328.358478259258+125820.31178615426i
0.013636363636363636      -0.006                   6484.946340643729+121496.62345169272i
0.013939393939393939      -0.006                   8488.85734168002+117192.37821537498i
0.014242424242424242      -0.006                   10340.33756486927+112927.96805786248i
0.014545454545454545      -0.006                   12044.390119627711+108726.81743345747i
0.014848484848484849      -0.006                   13601.529893084768+104588.13039586098i
0.015151515151515152      -0.006                   15013.090382198208+100519.12781375142i
0.015454545454545455      -0.006                   16289.946039627488+96541.14995678465i
0.01575757575757576       -0.006                   17434.38818596789+92654.08937950151i
0.01606060606060606       -0.006                   18446.749284078625+88859.50921919043i
0.016363636363636365      -0.006                   19339.343365975576+85172.08663208444i
0.016666666666666666      -0.006                   20118.38500918086+81592.22756527446i
0.016969696969696968      -0.006                   20783.8742136945+78119.9320187605i
0.017272727272727273      -0.006                   21344.38343917024+74762.72581506163i
0.017575757575757574      -0.006                   21811.375893914425+71521.04068789801i
0.01787878787878788       -0.006                   22184.903459907004+68394.41524285875i
0.01818181818181818       -0.006                   22468.90371603188+65385.37792354958i
0.018484848484848486      -0.006                   22677.406940612742+62493.77021897784i
0.018787878787878787      -0.006                   22811.623782214905+59718.0775759587i
0.019090909090909092      -0.006                   22872.65380940911+57059.024844615524i
0.019393939393939394      -0.006                   22873.004190907443+54515.115580556354i
0.019696969696969695      -0.006                   22816.05446217234+52083.33228386077i
0.02                      -0.006                   22701.804623203774+49763.674954528724i
0.020303030303030302      -0.006                   22538.470232673815+47555.03802425813i
0.020606060606060607      -0.006                   22331.95372162312+45451.80499995112i
0.02090909090909091       -0.006                   22082.255090051716+43453.975881607796i
0.021212121212121213      -0.006                   21792.902141149676+41560.607445782174i
0.021515151515151515      -0.006                   21471.2275726849+39764.99326385788i
0.02181818181818182       -0.006                   21117.369219352455+38066.25897208235i
0.02212121212121212       -0.006                   20732.38125619159+36464.15193719182i
